2025-11-21T00:20:25.617136 | celebrity_interviews_341 | chunk 0 | prompt_tokens=16468, candidates_tokens=353, total_tokens=16821
2025-11-21T00:28:04.727284 | celebrity_interviews_438 | chunk 11 | prompt_tokens=18474, candidates_tokens=327, total_tokens=18801
2025-11-21T00:28:14.309840 | celebrity_interviews_438 | chunk 12 | prompt_tokens=2626, candidates_tokens=205, total_tokens=2831
2025-11-21T00:28:22.994769 | celebrity_interviews_438 | chunk 13 | prompt_tokens=2035, candidates_tokens=129, total_tokens=2164
2025-11-21T00:28:31.163264 | celebrity_interviews_438 | chunk 14 | prompt_tokens=9060, candidates_tokens=306, total_tokens=9366
2025-11-21T00:28:41.347989 | celebrity_interviews_438 | chunk 15 | prompt_tokens=8469, candidates_tokens=400, total_tokens=8869
2025-11-21T00:28:49.440299 | celebrity_interviews_438 | chunk 16 | prompt_tokens=8311, candidates_tokens=247, total_tokens=8558
2025-11-21T00:28:54.705054 | celebrity_interviews_305 | chunk 0 | prompt_tokens=2551, candidates_tokens=196, total_tokens=2747
2025-11-21T00:29:03.297315 | celebrity_interviews_305 | chunk 1 | prompt_tokens=5123, candidates_tokens=255, total_tokens=5378
2025-11-21T00:29:15.605719 | celebrity_interviews_305 | chunk 2 | prompt_tokens=6538, candidates_tokens=215, total_tokens=6753
2025-11-21T00:29:31.444084 | celebrity_interviews_305 | chunk 3 | prompt_tokens=15103, candidates_tokens=202, total_tokens=15305
2025-11-21T00:29:42.386973 | celebrity_interviews_305 | chunk 4 | prompt_tokens=7104, candidates_tokens=225, total_tokens=7329
2025-11-21T00:29:53.787068 | celebrity_interviews_305 | chunk 5 | prompt_tokens=12556, candidates_tokens=291, total_tokens=12847
2025-11-21T00:30:09.749489 | celebrity_interviews_305 | chunk 6 | prompt_tokens=13588, candidates_tokens=326, total_tokens=13914
2025-11-21T00:30:18.800745 | celebrity_interviews_305 | chunk 7 | prompt_tokens=1677, candidates_tokens=179, total_tokens=1856
2025-11-21T00:30:29.970714 | celebrity_interviews_305 | chunk 8 | prompt_tokens=17034, candidates_tokens=275, total_tokens=17309
2025-11-21T00:30:42.725250 | celebrity_interviews_305 | chunk 9 | prompt_tokens=10858, candidates_tokens=220, total_tokens=11078
2025-11-21T00:31:14.777684 | celebrity_interviews_8 | chunk 0 | prompt_tokens=19531, candidates_tokens=171, total_tokens=19702
2025-11-21T00:31:27.451575 | celebrity_interviews_8 | chunk 1 | prompt_tokens=14745, candidates_tokens=337, total_tokens=15082
2025-11-21T00:31:39.951521 | celebrity_interviews_8 | chunk 2 | prompt_tokens=16185, candidates_tokens=246, total_tokens=16431
2025-11-21T00:31:53.315346 | celebrity_interviews_8 | chunk 3 | prompt_tokens=13355, candidates_tokens=275, total_tokens=13630
2025-11-21T00:32:10.016322 | celebrity_interviews_8 | chunk 4 | prompt_tokens=18449, candidates_tokens=252, total_tokens=18701
2025-11-21T00:32:23.423877 | celebrity_interviews_8 | chunk 5 | prompt_tokens=13122, candidates_tokens=287, total_tokens=13409
2025-11-21T00:32:32.003937 | celebrity_interviews_8 | chunk 6 | prompt_tokens=7362, candidates_tokens=219, total_tokens=7581
2025-11-21T00:32:40.919788 | celebrity_interviews_8 | chunk 7 | prompt_tokens=10575, candidates_tokens=280, total_tokens=10855
2025-11-21T00:32:47.355054 | celebrity_interviews_8 | chunk 8 | prompt_tokens=1419, candidates_tokens=241, total_tokens=1660
2025-11-21T00:32:59.005913 | celebrity_interviews_8 | chunk 9 | prompt_tokens=8469, candidates_tokens=312, total_tokens=8781
2025-11-21T00:33:12.410205 | celebrity_interviews_334 | chunk 0 | prompt_tokens=10317, candidates_tokens=202, total_tokens=10519
2025-11-21T00:33:28.926229 | celebrity_interviews_334 | chunk 1 | prompt_tokens=16493, candidates_tokens=190, total_tokens=16683
2025-11-21T00:33:51.279482 | celebrity_interviews_334 | chunk 2 | prompt_tokens=25266, candidates_tokens=187, total_tokens=25453
2025-11-21T00:34:10.595190 | celebrity_interviews_334 | chunk 3 | prompt_tokens=9909, candidates_tokens=190, total_tokens=10099
2025-11-21T00:34:18.293091 | celebrity_interviews_334 | chunk 4 | prompt_tokens=6513, candidates_tokens=199, total_tokens=6712
2025-11-21T00:34:26.963729 | celebrity_interviews_334 | chunk 5 | prompt_tokens=9085, candidates_tokens=195, total_tokens=9280
2025-11-21T00:34:38.938658 | celebrity_interviews_334 | chunk 6 | prompt_tokens=8594, candidates_tokens=183, total_tokens=8777
2025-11-21T00:34:47.786194 | celebrity_interviews_334 | chunk 7 | prompt_tokens=8236, candidates_tokens=155, total_tokens=8391
2025-11-21T00:34:54.393335 | celebrity_interviews_334 | chunk 8 | prompt_tokens=5639, candidates_tokens=137, total_tokens=5776
2025-11-21T00:35:03.324267 | celebrity_interviews_334 | chunk 9 | prompt_tokens=8186, candidates_tokens=155, total_tokens=8341
2025-11-21T00:35:15.947107 | celebrity_interviews_334 | chunk 10 | prompt_tokens=20430, candidates_tokens=221, total_tokens=20651
2025-11-21T00:35:26.668089 | celebrity_interviews_334 | chunk 11 | prompt_tokens=8594, candidates_tokens=194, total_tokens=8788
2025-11-21T00:35:46.748115 | celebrity_interviews_237 | chunk 0 | prompt_tokens=21229, candidates_tokens=211, total_tokens=21440
2025-11-21T00:35:58.531290 | celebrity_interviews_237 | chunk 1 | prompt_tokens=15078, candidates_tokens=265, total_tokens=15343
2025-11-21T00:36:04.754433 | celebrity_interviews_237 | chunk 2 | prompt_tokens=1186, candidates_tokens=153, total_tokens=1339
2025-11-21T00:36:15.039194 | celebrity_interviews_237 | chunk 3 | prompt_tokens=10575, candidates_tokens=157, total_tokens=10732
2025-11-21T00:36:26.589322 | celebrity_interviews_237 | chunk 4 | prompt_tokens=14462, candidates_tokens=196, total_tokens=14658
2025-11-21T00:36:34.747575 | celebrity_interviews_237 | chunk 5 | prompt_tokens=6047, candidates_tokens=161, total_tokens=6208
2025-11-21T00:36:57.152336 | celebrity_interviews_237 | chunk 6 | prompt_tokens=8777, candidates_tokens=201, total_tokens=8978
2025-11-21T00:37:05.567895 | celebrity_interviews_237 | chunk 7 | prompt_tokens=6796, candidates_tokens=217, total_tokens=7013
2025-11-21T00:37:12.586654 | celebrity_interviews_237 | chunk 8 | prompt_tokens=7154, candidates_tokens=114, total_tokens=7268
2025-11-21T00:37:20.632747 | celebrity_interviews_237 | chunk 9 | prompt_tokens=6613, candidates_tokens=194, total_tokens=6807
2025-11-21T00:37:28.758732 | celebrity_interviews_237 | chunk 10 | prompt_tokens=5148, candidates_tokens=241, total_tokens=5389
2025-11-21T00:37:40.442654 | celebrity_interviews_237 | chunk 11 | prompt_tokens=13638, candidates_tokens=263, total_tokens=13901
2025-11-21T00:37:48.911093 | celebrity_interviews_237 | chunk 12 | prompt_tokens=7362, candidates_tokens=264, total_tokens=7626
2025-11-21T00:37:56.902139 | celebrity_interviews_237 | chunk 13 | prompt_tokens=6896, candidates_tokens=235, total_tokens=7131
2025-11-21T00:38:02.475934 | celebrity_interviews_237 | chunk 14 | prompt_tokens=903, candidates_tokens=226, total_tokens=1129
2025-11-21T00:38:10.242996 | celebrity_interviews_301 | chunk 0 | prompt_tokens=5689, candidates_tokens=220, total_tokens=5909
2025-11-21T00:38:19.022898 | celebrity_interviews_301 | chunk 1 | prompt_tokens=6463, candidates_tokens=240, total_tokens=6703
2025-11-21T00:38:26.502207 | celebrity_interviews_301 | chunk 2 | prompt_tokens=2368, candidates_tokens=200, total_tokens=2568
2025-11-21T00:38:33.480095 | celebrity_interviews_301 | chunk 3 | prompt_tokens=2601, candidates_tokens=162, total_tokens=2763
2025-11-21T00:38:51.362729 | celebrity_interviews_301 | chunk 4 | prompt_tokens=17883, candidates_tokens=265, total_tokens=18148
2025-11-21T00:38:57.883213 | celebrity_interviews_301 | chunk 5 | prompt_tokens=2010, candidates_tokens=169, total_tokens=2179
2025-11-21T00:39:07.004487 | celebrity_interviews_301 | chunk 6 | prompt_tokens=11399, candidates_tokens=187, total_tokens=11586
2025-11-21T00:39:19.384873 | celebrity_interviews_301 | chunk 7 | prompt_tokens=19739, candidates_tokens=191, total_tokens=19930
2025-11-21T00:39:30.944093 | celebrity_interviews_301 | chunk 8 | prompt_tokens=21562, candidates_tokens=188, total_tokens=21750
2025-11-21T00:39:42.228765 | celebrity_interviews_301 | chunk 9 | prompt_tokens=14229, candidates_tokens=202, total_tokens=14431
2025-11-21T00:39:56.083482 | celebrity_interviews_301 | chunk 10 | prompt_tokens=13921, candidates_tokens=190, total_tokens=14111
2025-11-21T00:40:10.424935 | celebrity_interviews_301 | chunk 11 | prompt_tokens=13563, candidates_tokens=200, total_tokens=13763
2025-11-21T00:40:20.244610 | celebrity_interviews_301 | chunk 12 | prompt_tokens=9293, candidates_tokens=223, total_tokens=9516
2025-11-21T00:40:32.504794 | celebrity_interviews_301 | chunk 13 | prompt_tokens=23801, candidates_tokens=269, total_tokens=24070
2025-11-21T00:40:39.876022 | celebrity_interviews_16 | chunk 0 | prompt_tokens=7104, candidates_tokens=178, total_tokens=7282
2025-11-21T00:40:47.628484 | celebrity_interviews_16 | chunk 1 | prompt_tokens=7437, candidates_tokens=234, total_tokens=7671
2025-11-21T00:40:58.032166 | celebrity_interviews_16 | chunk 2 | prompt_tokens=10192, candidates_tokens=231, total_tokens=10423
2025-11-21T00:41:09.530358 | celebrity_interviews_16 | chunk 3 | prompt_tokens=17550, candidates_tokens=301, total_tokens=17851
2025-11-21T00:41:25.179348 | celebrity_interviews_16 | chunk 4 | prompt_tokens=18166, candidates_tokens=273, total_tokens=18439
2025-11-21T00:41:33.776689 | celebrity_interviews_16 | chunk 5 | prompt_tokens=4299, candidates_tokens=170, total_tokens=4469
2025-11-21T00:41:40.214066 | celebrity_interviews_16 | chunk 6 | prompt_tokens=4374, candidates_tokens=159, total_tokens=4533
2025-11-21T00:41:50.057132 | celebrity_interviews_16 | chunk 7 | prompt_tokens=7362, candidates_tokens=246, total_tokens=7608
2025-11-21T00:42:03.530135 | celebrity_interviews_16 | chunk 8 | prompt_tokens=12298, candidates_tokens=274, total_tokens=12572
2025-11-21T00:42:24.691681 | celebrity_interviews_16 | chunk 9 | prompt_tokens=7978, candidates_tokens=176, total_tokens=8154
2025-11-21T00:42:40.436548 | celebrity_interviews_16 | chunk 10 | prompt_tokens=16185, candidates_tokens=332, total_tokens=16517
2025-11-21T00:42:46.676833 | celebrity_interviews_16 | chunk 11 | prompt_tokens=6896, candidates_tokens=149, total_tokens=7045
2025-11-21T00:42:53.870591 | celebrity_interviews_16 | chunk 12 | prompt_tokens=5406, candidates_tokens=163, total_tokens=5569
2025-11-21T00:43:07.276345 | celebrity_interviews_16 | chunk 13 | prompt_tokens=11732, candidates_tokens=202, total_tokens=11934
2025-11-21T00:43:13.323373 | celebrity_interviews_16 | chunk 14 | prompt_tokens=2268, candidates_tokens=168, total_tokens=2436
2025-11-21T00:43:35.871585 | celebrity_interviews_16 | chunk 15 | prompt_tokens=18166, candidates_tokens=242, total_tokens=18408
2025-11-21T00:43:40.136019 | celebrity_interviews_16 | chunk 16 | prompt_tokens=1236, candidates_tokens=114, total_tokens=1350
2025-11-21T00:43:47.965643 | celebrity_interviews_329 | chunk 0 | prompt_tokens=10475, candidates_tokens=236, total_tokens=10711
2025-11-21T00:43:58.697103 | celebrity_interviews_329 | chunk 1 | prompt_tokens=5714, candidates_tokens=212, total_tokens=5926
2025-11-21T00:44:06.596799 | celebrity_interviews_329 | chunk 2 | prompt_tokens=5689, candidates_tokens=169, total_tokens=5858
2025-11-21T00:44:12.956067 | celebrity_interviews_329 | chunk 3 | prompt_tokens=8211, candidates_tokens=284, total_tokens=8495
2025-11-21T00:44:23.291185 | celebrity_interviews_329 | chunk 4 | prompt_tokens=9726, candidates_tokens=196, total_tokens=9922
2025-11-21T00:44:41.826546 | celebrity_interviews_329 | chunk 5 | prompt_tokens=11399, candidates_tokens=305, total_tokens=11704
2025-11-21T00:44:49.542725 | celebrity_interviews_329 | chunk 6 | prompt_tokens=7104, candidates_tokens=170, total_tokens=7274
2025-11-21T00:44:54.848108 | celebrity_interviews_329 | chunk 7 | prompt_tokens=3683, candidates_tokens=162, total_tokens=3845
2025-11-21T00:45:07.180594 | celebrity_interviews_329 | chunk 8 | prompt_tokens=16493, candidates_tokens=543, total_tokens=17036
2025-11-21T00:45:23.128830 | celebrity_interviews_329 | chunk 9 | prompt_tokens=13613, candidates_tokens=224, total_tokens=13837
2025-11-21T00:45:30.801252 | celebrity_interviews_329 | chunk 10 | prompt_tokens=9701, candidates_tokens=226, total_tokens=9927
2025-11-21T00:45:36.674457 | celebrity_interviews_329 | chunk 11 | prompt_tokens=3475, candidates_tokens=218, total_tokens=3693
2025-11-21T00:45:49.412372 | celebrity_interviews_329 | chunk 12 | prompt_tokens=5689, candidates_tokens=565, total_tokens=6254
2025-11-21T00:45:58.504274 | celebrity_interviews_329 | chunk 13 | prompt_tokens=9035, candidates_tokens=182, total_tokens=9217
2025-11-21T00:46:07.339486 | celebrity_interviews_329 | chunk 14 | prompt_tokens=6846, candidates_tokens=160, total_tokens=7006
2025-11-21T00:46:22.233334 | celebrity_interviews_329 | chunk 15 | prompt_tokens=9726, candidates_tokens=117, total_tokens=9843
2025-11-21T00:46:32.195610 | celebrity_interviews_329 | chunk 16 | prompt_tokens=16518, candidates_tokens=167, total_tokens=16685
2025-11-21T00:46:41.184068 | celebrity_interviews_271 | chunk 0 | prompt_tokens=7645, candidates_tokens=178, total_tokens=7823
2025-11-21T00:46:52.568769 | celebrity_interviews_271 | chunk 1 | prompt_tokens=13921, candidates_tokens=220, total_tokens=14141
2025-11-21T00:47:01.221933 | celebrity_interviews_271 | chunk 2 | prompt_tokens=12248, candidates_tokens=139, total_tokens=12387
2025-11-21T00:47:10.712240 | celebrity_interviews_271 | chunk 3 | prompt_tokens=4016, candidates_tokens=183, total_tokens=4199
2025-11-21T00:47:20.576917 | celebrity_interviews_271 | chunk 4 | prompt_tokens=6588, candidates_tokens=220, total_tokens=6808
2025-11-21T00:47:27.512501 | celebrity_interviews_271 | chunk 5 | prompt_tokens=4274, candidates_tokens=179, total_tokens=4453
2025-11-21T00:47:40.750297 | celebrity_interviews_271 | chunk 6 | prompt_tokens=13355, candidates_tokens=169, total_tokens=13524
2025-11-21T00:48:03.650224 | celebrity_interviews_271 | chunk 7 | prompt_tokens=11374, candidates_tokens=161, total_tokens=11535
2025-11-21T00:48:17.037808 | celebrity_interviews_271 | chunk 8 | prompt_tokens=11399, candidates_tokens=188, total_tokens=11587
2025-11-21T00:48:25.420391 | celebrity_interviews_271 | chunk 9 | prompt_tokens=6846, candidates_tokens=169, total_tokens=7015
2025-11-21T00:48:41.370387 | celebrity_interviews_271 | chunk 10 | prompt_tokens=13896, candidates_tokens=211, total_tokens=14107
2025-11-21T00:48:46.296047 | celebrity_interviews_271 | chunk 11 | prompt_tokens=2551, candidates_tokens=151, total_tokens=2702
2025-11-21T00:49:04.102995 | celebrity_interviews_271 | chunk 12 | prompt_tokens=11324, candidates_tokens=316, total_tokens=11640
2025-11-21T00:49:32.774307 | celebrity_interviews_78 | chunk 0 | prompt_tokens=11141, candidates_tokens=323, total_tokens=11464
2025-11-21T00:49:38.366334 | celebrity_interviews_78 | chunk 1 | prompt_tokens=1935, candidates_tokens=151, total_tokens=2086
2025-11-21T00:49:52.878042 | celebrity_interviews_78 | chunk 2 | prompt_tokens=10500, candidates_tokens=192, total_tokens=10692
2025-11-21T00:50:04.796613 | celebrity_interviews_78 | chunk 3 | prompt_tokens=13613, candidates_tokens=234, total_tokens=13847
2025-11-21T00:50:32.247654 | celebrity_interviews_78 | chunk 4 | prompt_tokens=13946, candidates_tokens=215, total_tokens=14161
2025-11-21T00:50:42.208393 | celebrity_interviews_78 | chunk 5 | prompt_tokens=1752, candidates_tokens=124, total_tokens=1876
2025-11-21T00:50:51.025420 | celebrity_interviews_78 | chunk 6 | prompt_tokens=6047, candidates_tokens=152, total_tokens=6199
2025-11-21T00:51:10.514589 | celebrity_interviews_78 | chunk 7 | prompt_tokens=6896, candidates_tokens=201, total_tokens=7097
2025-11-21T00:51:23.974506 | celebrity_interviews_78 | chunk 8 | prompt_tokens=9626, candidates_tokens=262, total_tokens=9888
2025-11-21T00:51:43.414730 | celebrity_interviews_78 | chunk 9 | prompt_tokens=21512, candidates_tokens=220, total_tokens=21732
2025-11-21T00:52:24.330629 | celebrity_interviews_78 | chunk 10 | prompt_tokens=24983, candidates_tokens=223, total_tokens=25206
2025-11-21T00:52:34.934623 | celebrity_interviews_372 | chunk 0 | prompt_tokens=7104, candidates_tokens=291, total_tokens=7395
2025-11-21T00:52:51.420977 | celebrity_interviews_372 | chunk 1 | prompt_tokens=12997, candidates_tokens=239, total_tokens=13236
2025-11-21T00:53:02.524738 | celebrity_interviews_372 | chunk 2 | prompt_tokens=5739, candidates_tokens=290, total_tokens=6029
2025-11-21T00:53:08.759953 | celebrity_interviews_372 | chunk 3 | prompt_tokens=4607, candidates_tokens=312, total_tokens=4919
2025-11-21T00:53:18.204824 | celebrity_interviews_372 | chunk 4 | prompt_tokens=6305, candidates_tokens=289, total_tokens=6594
2025-11-21T00:53:32.398062 | celebrity_interviews_372 | chunk 5 | prompt_tokens=15544, candidates_tokens=205, total_tokens=15749
2025-11-21T00:53:41.788101 | celebrity_interviews_372 | chunk 6 | prompt_tokens=6230, candidates_tokens=164, total_tokens=6394
2025-11-21T00:53:49.633231 | celebrity_interviews_372 | chunk 7 | prompt_tokens=9085, candidates_tokens=230, total_tokens=9315
2025-11-21T00:54:19.614401 | celebrity_interviews_372 | chunk 8 | prompt_tokens=15952, candidates_tokens=228, total_tokens=16180
2025-11-21T00:54:27.127268 | celebrity_interviews_372 | chunk 9 | prompt_tokens=14978, candidates_tokens=214, total_tokens=15192
2025-11-21T00:54:35.853249 | celebrity_interviews_372 | chunk 10 | prompt_tokens=5997, candidates_tokens=179, total_tokens=6176
2025-11-21T00:54:48.095363 | celebrity_interviews_372 | chunk 11 | prompt_tokens=8519, candidates_tokens=212, total_tokens=8731
2025-11-21T00:55:04.099258 | celebrity_interviews_372 | chunk 12 | prompt_tokens=9035, candidates_tokens=166, total_tokens=9201
2025-11-21T00:55:20.891546 | celebrity_interviews_372 | chunk 13 | prompt_tokens=15286, candidates_tokens=228, total_tokens=15514
2025-11-21T00:55:28.012042 | celebrity_interviews_270 | chunk 0 | prompt_tokens=7645, candidates_tokens=136, total_tokens=7781
2025-11-21T00:55:51.687248 | celebrity_interviews_270 | chunk 1 | prompt_tokens=10500, candidates_tokens=148, total_tokens=10648
2025-11-21T00:56:13.406220 | celebrity_interviews_270 | chunk 2 | prompt_tokens=13072, candidates_tokens=348, total_tokens=13420
2025-11-21T00:56:24.291871 | celebrity_interviews_270 | chunk 3 | prompt_tokens=11707, candidates_tokens=160, total_tokens=11867
2025-11-21T00:56:35.390535 | celebrity_interviews_270 | chunk 4 | prompt_tokens=9726, candidates_tokens=238, total_tokens=9964
2025-11-21T00:56:46.693142 | celebrity_interviews_270 | chunk 5 | prompt_tokens=13688, candidates_tokens=270, total_tokens=13958
2025-11-21T00:57:05.636002 | celebrity_interviews_270 | chunk 6 | prompt_tokens=6047, candidates_tokens=208, total_tokens=6255
2025-11-21T00:57:16.464209 | celebrity_interviews_270 | chunk 7 | prompt_tokens=10450, candidates_tokens=284, total_tokens=10734
2025-11-21T01:04:45.378915 | celebrity_interviews_270 | chunk 8 | prompt_tokens=3425, candidates_tokens=291, total_tokens=3716
2025-11-21T01:04:57.463742 | celebrity_interviews_270 | chunk 9 | prompt_tokens=6821, candidates_tokens=259, total_tokens=7080
2025-11-21T01:05:04.548329 | celebrity_interviews_270 | chunk 10 | prompt_tokens=3475, candidates_tokens=152, total_tokens=3627
2025-11-21T01:05:12.571975 | celebrity_interviews_270 | chunk 11 | prompt_tokens=8261, candidates_tokens=195, total_tokens=8456
2025-11-21T01:05:18.947244 | celebrity_interviews_270 | chunk 12 | prompt_tokens=4815, candidates_tokens=200, total_tokens=5015
2025-11-21T01:05:28.506105 | celebrity_interviews_270 | chunk 13 | prompt_tokens=9343, candidates_tokens=181, total_tokens=9524
2025-11-21T01:08:08.135518 | celebrity_interviews_270 | chunk 14 | prompt_tokens=22411, candidates_tokens=259, total_tokens=22670
2025-11-21T01:08:19.895508 | celebrity_interviews_270 | chunk 15 | prompt_tokens=16235, candidates_tokens=265, total_tokens=16500
2025-11-21T01:08:26.704167 | celebrity_interviews_83 | chunk 0 | prompt_tokens=4349, candidates_tokens=171, total_tokens=4520
2025-11-21T01:08:37.816125 | celebrity_interviews_83 | chunk 1 | prompt_tokens=8336, candidates_tokens=218, total_tokens=8554
2025-11-21T01:08:46.255495 | celebrity_interviews_83 | chunk 2 | prompt_tokens=12248, candidates_tokens=206, total_tokens=12454
2025-11-21T01:09:02.531310 | celebrity_interviews_83 | chunk 3 | prompt_tokens=21612, candidates_tokens=197, total_tokens=21809
2025-11-21T01:09:11.928507 | celebrity_interviews_83 | chunk 4 | prompt_tokens=6330, candidates_tokens=195, total_tokens=6525
2025-11-21T01:09:22.526467 | celebrity_interviews_83 | chunk 5 | prompt_tokens=10292, candidates_tokens=210, total_tokens=10502
2025-11-21T01:09:30.983380 | celebrity_interviews_83 | chunk 6 | prompt_tokens=7745, candidates_tokens=284, total_tokens=8029
2025-11-21T01:09:38.086162 | celebrity_interviews_83 | chunk 7 | prompt_tokens=7437, candidates_tokens=224, total_tokens=7661
2025-11-21T01:09:53.153553 | celebrity_interviews_83 | chunk 8 | prompt_tokens=17933, candidates_tokens=177, total_tokens=18110
2025-11-21T01:10:06.093162 | celebrity_interviews_83 | chunk 9 | prompt_tokens=10858, candidates_tokens=217, total_tokens=11075
2025-11-21T01:10:29.194978 | celebrity_interviews_83 | chunk 10 | prompt_tokens=22411, candidates_tokens=202, total_tokens=22613
2025-11-21T01:10:43.739172 | celebrity_interviews_83 | chunk 11 | prompt_tokens=13971, candidates_tokens=179, total_tokens=14150
2025-11-21T01:11:05.843274 | celebrity_interviews_83 | chunk 12 | prompt_tokens=13355, candidates_tokens=210, total_tokens=13565
2025-11-21T01:11:27.287388 | celebrity_interviews_201 | chunk 0 | prompt_tokens=16984, candidates_tokens=273, total_tokens=17257
