2025-11-21T18:43:04.385931 | celebrity_interviews_329 | chunk 0 | prompt_tokens=10475, candidates_tokens=322, total_tokens=11809
2025-11-21T18:56:21.769972 | celebrity_interviews_283 | chunk 8 | prompt_tokens=7695, candidates_tokens=181, total_tokens=8817
2025-11-21T18:56:36.214095 | celebrity_interviews_283 | chunk 9 | prompt_tokens=3142, candidates_tokens=247, total_tokens=4256
2025-11-21T18:57:10.936691 | celebrity_interviews_283 | chunk 10 | prompt_tokens=22386, candidates_tokens=193, total_tokens=23650
2025-11-21T18:57:40.628697 | celebrity_interviews_283 | chunk 12 | prompt_tokens=4890, candidates_tokens=134, total_tokens=5585
2025-11-21T18:57:58.434780 | celebrity_interviews_283 | chunk 13 | prompt_tokens=5997, candidates_tokens=212, total_tokens=7009
2025-11-21T18:58:16.565952 | celebrity_interviews_283 | chunk 14 | prompt_tokens=8802, candidates_tokens=324, total_tokens=9657
2025-11-21T18:58:33.044074 | celebrity_interviews_283 | chunk 15 | prompt_tokens=7184, candidates_tokens=179, total_tokens=8556
2025-11-21T18:58:54.535965 | celebrity_interviews_283 | chunk 16 | prompt_tokens=12211, candidates_tokens=379, total_tokens=13628
2025-11-21T18:59:09.767851 | celebrity_interviews_271 | chunk 0 | prompt_tokens=7645, candidates_tokens=174, total_tokens=8410
2025-11-21T18:59:38.002286 | celebrity_interviews_271 | chunk 1 | prompt_tokens=13921, candidates_tokens=208, total_tokens=14834
2025-11-21T19:00:01.033580 | celebrity_interviews_271 | chunk 2 | prompt_tokens=12248, candidates_tokens=188, total_tokens=13184
2025-11-21T19:00:15.043888 | celebrity_interviews_271 | chunk 3 | prompt_tokens=4016, candidates_tokens=253, total_tokens=5115
2025-11-21T19:00:28.652414 | celebrity_interviews_271 | chunk 4 | prompt_tokens=6588, candidates_tokens=159, total_tokens=7070
2025-11-21T19:00:41.859456 | celebrity_interviews_271 | chunk 5 | prompt_tokens=4274, candidates_tokens=203, total_tokens=4874
2025-11-21T19:01:02.272796 | celebrity_interviews_271 | chunk 6 | prompt_tokens=13355, candidates_tokens=145, total_tokens=14129
2025-11-21T19:01:23.046609 | celebrity_interviews_271 | chunk 7 | prompt_tokens=11374, candidates_tokens=240, total_tokens=12204
2025-11-21T19:01:43.157078 | celebrity_interviews_271 | chunk 8 | prompt_tokens=11399, candidates_tokens=291, total_tokens=12679
2025-11-21T19:02:02.394894 | celebrity_interviews_271 | chunk 9 | prompt_tokens=6846, candidates_tokens=198, total_tokens=7609
2025-11-21T19:02:22.227561 | celebrity_interviews_271 | chunk 10 | prompt_tokens=13896, candidates_tokens=176, total_tokens=14788
2025-11-21T19:02:30.998135 | celebrity_interviews_271 | chunk 11 | prompt_tokens=2551, candidates_tokens=133, total_tokens=3153
2025-11-21T19:02:49.887313 | celebrity_interviews_271 | chunk 12 | prompt_tokens=11324, candidates_tokens=346, total_tokens=12364
2025-11-21T19:03:13.481955 | celebrity_interviews_30 | chunk 0 | prompt_tokens=8979, candidates_tokens=282, total_tokens=10281
2025-11-21T19:03:42.819851 | celebrity_interviews_30 | chunk 1 | prompt_tokens=7953, candidates_tokens=279, total_tokens=9289
2025-11-21T19:04:15.295436 | celebrity_interviews_30 | chunk 2 | prompt_tokens=11915, candidates_tokens=374, total_tokens=13467
2025-11-21T19:04:30.756328 | celebrity_interviews_30 | chunk 3 | prompt_tokens=3092, candidates_tokens=226, total_tokens=3903
2025-11-21T19:04:57.435011 | celebrity_interviews_30 | chunk 4 | prompt_tokens=6230, candidates_tokens=352, total_tokens=7961
2025-11-21T19:05:32.683144 | celebrity_interviews_30 | chunk 5 | prompt_tokens=11066, candidates_tokens=402, total_tokens=12731
2025-11-21T19:06:13.725970 | celebrity_interviews_30 | chunk 6 | prompt_tokens=12273, candidates_tokens=287, total_tokens=14097
2025-11-21T19:06:46.297880 | celebrity_interviews_30 | chunk 7 | prompt_tokens=10242, candidates_tokens=534, total_tokens=11239
2025-11-21T19:07:15.215576 | celebrity_interviews_30 | chunk 8 | prompt_tokens=10858, candidates_tokens=318, total_tokens=11767
2025-11-21T19:07:38.858135 | celebrity_interviews_30 | chunk 9 | prompt_tokens=6871, candidates_tokens=271, total_tokens=7839
2025-11-21T19:08:24.421767 | celebrity_interviews_30 | chunk 10 | prompt_tokens=15078, candidates_tokens=513, total_tokens=16452
2025-11-21T19:08:49.270140 | celebrity_interviews_30 | chunk 11 | prompt_tokens=6538, candidates_tokens=504, total_tokens=7127
2025-11-21T19:09:45.818579 | celebrity_interviews_30 | chunk 12 | prompt_tokens=19864, candidates_tokens=583, total_tokens=22734
2025-11-21T19:10:06.096085 | celebrity_interviews_305 | chunk 0 | prompt_tokens=2551, candidates_tokens=191, total_tokens=3516
2025-11-21T19:10:22.936473 | celebrity_interviews_305 | chunk 1 | prompt_tokens=5123, candidates_tokens=269, total_tokens=6073
2025-11-21T19:10:41.705953 | celebrity_interviews_305 | chunk 2 | prompt_tokens=6538, candidates_tokens=235, total_tokens=7188
2025-11-21T19:11:18.225165 | celebrity_interviews_305 | chunk 3 | prompt_tokens=15103, candidates_tokens=258, total_tokens=16006
2025-11-21T19:11:40.687662 | celebrity_interviews_305 | chunk 4 | prompt_tokens=7104, candidates_tokens=293, total_tokens=7940
2025-11-21T19:12:24.480878 | celebrity_interviews_305 | chunk 5 | prompt_tokens=12556, candidates_tokens=257, total_tokens=13531
2025-11-21T19:12:58.724886 | celebrity_interviews_305 | chunk 6 | prompt_tokens=13588, candidates_tokens=193, total_tokens=14233
2025-11-21T19:13:11.576780 | celebrity_interviews_305 | chunk 7 | prompt_tokens=1677, candidates_tokens=189, total_tokens=2424
2025-11-21T19:14:08.689179 | celebrity_interviews_305 | chunk 8 | prompt_tokens=17034, candidates_tokens=345, total_tokens=17848
2025-11-21T19:14:44.296548 | celebrity_interviews_305 | chunk 9 | prompt_tokens=11624, candidates_tokens=264, total_tokens=12334
2025-11-21T19:15:44.337739 | celebrity_interviews_305 | chunk 10 | prompt_tokens=21229, candidates_tokens=301, total_tokens=22521
2025-11-21T19:16:11.329581 | celebrity_interviews_305 | chunk 11 | prompt_tokens=6513, candidates_tokens=230, total_tokens=8138
2025-11-21T19:16:28.678952 | celebrity_interviews_305 | chunk 12 | prompt_tokens=6821, candidates_tokens=208, total_tokens=7449
2025-11-21T19:16:54.785747 | celebrity_interviews_438 | chunk 0 | prompt_tokens=9884, candidates_tokens=316, total_tokens=10538
2025-11-21T19:17:18.531950 | celebrity_interviews_438 | chunk 1 | prompt_tokens=8877, candidates_tokens=252, total_tokens=9603
2025-11-21T19:17:40.242203 | celebrity_interviews_438 | chunk 2 | prompt_tokens=6513, candidates_tokens=384, total_tokens=7651
2025-11-21T19:18:04.705470 | celebrity_interviews_438 | chunk 3 | prompt_tokens=10009, candidates_tokens=290, total_tokens=11080
2025-11-21T19:18:40.835157 | celebrity_interviews_438 | chunk 4 | prompt_tokens=20161, candidates_tokens=222, total_tokens=21531
2025-11-21T19:19:07.593685 | celebrity_interviews_438 | chunk 5 | prompt_tokens=11141, candidates_tokens=311, total_tokens=11940
2025-11-21T19:19:46.436289 | celebrity_interviews_438 | chunk 6 | prompt_tokens=18696, candidates_tokens=326, total_tokens=19602
2025-11-21T19:20:12.284035 | celebrity_interviews_438 | chunk 7 | prompt_tokens=10575, candidates_tokens=336, total_tokens=11384
2025-11-21T19:20:23.263154 | celebrity_interviews_438 | chunk 8 | prompt_tokens=1702, candidates_tokens=187, total_tokens=2074
2025-11-21T19:20:54.161884 | celebrity_interviews_438 | chunk 9 | prompt_tokens=14204, candidates_tokens=339, total_tokens=16013
2025-11-21T19:21:22.907373 | celebrity_interviews_438 | chunk 10 | prompt_tokens=15927, candidates_tokens=278, total_tokens=16920
2025-11-21T19:22:01.262184 | celebrity_interviews_438 | chunk 11 | prompt_tokens=18474, candidates_tokens=546, total_tokens=19339
2025-11-21T19:22:12.928158 | celebrity_interviews_438 | chunk 12 | prompt_tokens=2626, candidates_tokens=145, total_tokens=3109
2025-11-21T19:22:26.828616 | celebrity_interviews_438 | chunk 13 | prompt_tokens=2035, candidates_tokens=210, total_tokens=2877
2025-11-21T19:22:49.803844 | celebrity_interviews_438 | chunk 14 | prompt_tokens=10734, candidates_tokens=415, total_tokens=11856
2025-11-21T19:23:08.101455 | celebrity_interviews_438 | chunk 15 | prompt_tokens=8469, candidates_tokens=235, total_tokens=9074
2025-11-21T19:23:24.780639 | celebrity_interviews_438 | chunk 16 | prompt_tokens=8957, candidates_tokens=310, total_tokens=9909
2025-11-21T19:23:39.650895 | celebrity_interviews_256 | chunk 0 | prompt_tokens=4828, candidates_tokens=242, total_tokens=5840
2025-11-21T19:23:59.610937 | celebrity_interviews_256 | chunk 1 | prompt_tokens=4482, candidates_tokens=365, total_tokens=6313
2025-11-21T19:24:19.638488 | celebrity_interviews_256 | chunk 2 | prompt_tokens=6305, candidates_tokens=297, total_tokens=7711
2025-11-21T19:24:43.886557 | celebrity_interviews_256 | chunk 3 | prompt_tokens=9262, candidates_tokens=317, total_tokens=10496
2025-11-21T19:25:08.393360 | celebrity_interviews_256 | chunk 4 | prompt_tokens=8211, candidates_tokens=310, total_tokens=9082
2025-11-21T19:25:29.689293 | celebrity_interviews_256 | chunk 5 | prompt_tokens=5173, candidates_tokens=240, total_tokens=6406
2025-11-21T19:26:00.887895 | celebrity_interviews_256 | chunk 6 | prompt_tokens=15619, candidates_tokens=385, total_tokens=17239
2025-11-21T19:26:17.394741 | celebrity_interviews_256 | chunk 7 | prompt_tokens=6305, candidates_tokens=345, total_tokens=7280
2025-11-21T19:27:05.885572 | celebrity_interviews_256 | chunk 8 | prompt_tokens=20097, candidates_tokens=279, total_tokens=21589
2025-11-21T19:27:24.603005 | celebrity_interviews_256 | chunk 9 | prompt_tokens=8211, candidates_tokens=150, total_tokens=8669
2025-11-21T19:28:09.057045 | celebrity_interviews_256 | chunk 10 | prompt_tokens=20971, candidates_tokens=655, total_tokens=22960
2025-11-21T19:28:20.350953 | celebrity_interviews_256 | chunk 11 | prompt_tokens=1985, candidates_tokens=191, total_tokens=2704
2025-11-21T19:28:53.202389 | celebrity_interviews_52 | chunk 0 | prompt_tokens=13846, candidates_tokens=169, total_tokens=14269
2025-11-21T19:29:49.381485 | celebrity_interviews_52 | chunk 1 | prompt_tokens=19864, candidates_tokens=569, total_tokens=21473
2025-11-21T19:30:18.030624 | celebrity_interviews_52 | chunk 2 | prompt_tokens=9626, candidates_tokens=333, total_tokens=11112
2025-11-21T19:30:54.357982 | celebrity_interviews_52 | chunk 3 | prompt_tokens=17933, candidates_tokens=342, total_tokens=19587
2025-11-21T19:31:20.602022 | celebrity_interviews_52 | chunk 4 | prompt_tokens=12198, candidates_tokens=308, total_tokens=13392
2025-11-21T19:31:48.703565 | celebrity_interviews_52 | chunk 5 | prompt_tokens=9626, candidates_tokens=309, total_tokens=10771
2025-11-21T19:32:21.205773 | celebrity_interviews_52 | chunk 6 | prompt_tokens=9984, candidates_tokens=434, total_tokens=11777
2025-11-21T19:33:06.070728 | celebrity_interviews_52 | chunk 7 | prompt_tokens=22461, candidates_tokens=232, total_tokens=23126
2025-11-21T19:33:51.980827 | celebrity_interviews_52 | chunk 8 | prompt_tokens=19298, candidates_tokens=542, total_tokens=21138
2025-11-21T19:34:09.545968 | celebrity_interviews_52 | chunk 9 | prompt_tokens=3965, candidates_tokens=239, total_tokens=4681
2025-11-21T19:35:19.947315 | celebrity_interviews_185 | chunk 0 | prompt_tokens=16343, candidates_tokens=302, total_tokens=17964
2025-11-21T19:35:35.487002 | celebrity_interviews_185 | chunk 1 | prompt_tokens=3117, candidates_tokens=185, total_tokens=3779
2025-11-21T19:35:53.112240 | celebrity_interviews_185 | chunk 2 | prompt_tokens=3733, candidates_tokens=210, total_tokens=4687
2025-11-21T19:36:34.196700 | celebrity_interviews_185 | chunk 3 | prompt_tokens=12764, candidates_tokens=226, total_tokens=14052
2025-11-21T19:37:14.514815 | celebrity_interviews_185 | chunk 4 | prompt_tokens=12764, candidates_tokens=209, total_tokens=13744
2025-11-21T19:37:37.594084 | celebrity_interviews_185 | chunk 5 | prompt_tokens=8028, candidates_tokens=187, total_tokens=8759
2025-11-21T19:38:17.250374 | celebrity_interviews_185 | chunk 6 | prompt_tokens=13871, candidates_tokens=215, total_tokens=15250
2025-11-21T19:38:55.542675 | celebrity_interviews_185 | chunk 7 | prompt_tokens=18449, candidates_tokens=203, total_tokens=19033
2025-11-21T19:39:20.397519 | celebrity_interviews_185 | chunk 8 | prompt_tokens=12764, candidates_tokens=169, total_tokens=13153
2025-11-21T19:39:39.968964 | celebrity_interviews_185 | chunk 9 | prompt_tokens=6255, candidates_tokens=111, total_tokens=6763
2025-11-21T19:40:29.678355 | celebrity_interviews_185 | chunk 10 | prompt_tokens=20172, candidates_tokens=129, total_tokens=20652
2025-11-21T19:40:58.844936 | celebrity_interviews_185 | chunk 11 | prompt_tokens=7387, candidates_tokens=182, total_tokens=8237
2025-11-21T19:41:32.980550 | celebrity_interviews_185 | chunk 12 | prompt_tokens=10167, candidates_tokens=172, total_tokens=10781
2025-11-21T19:42:42.037228 | celebrity_interviews_237 | chunk 0 | prompt_tokens=21229, candidates_tokens=360, total_tokens=22412
2025-11-21T19:43:18.993602 | celebrity_interviews_237 | chunk 1 | prompt_tokens=15078, candidates_tokens=269, total_tokens=16261
2025-11-21T19:43:35.908498 | celebrity_interviews_237 | chunk 2 | prompt_tokens=2472, candidates_tokens=186, total_tokens=3460
2025-11-21T19:44:17.147579 | celebrity_interviews_237 | chunk 3 | prompt_tokens=10575, candidates_tokens=229, total_tokens=11552
2025-11-21T19:45:20.982048 | celebrity_interviews_237 | chunk 4 | prompt_tokens=14462, candidates_tokens=230, total_tokens=15627
2025-11-21T19:45:47.544735 | celebrity_interviews_237 | chunk 5 | prompt_tokens=6047, candidates_tokens=154, total_tokens=6427
2025-11-21T19:46:20.838427 | celebrity_interviews_237 | chunk 6 | prompt_tokens=8777, candidates_tokens=171, total_tokens=9041
2025-11-21T19:46:48.649673 | celebrity_interviews_237 | chunk 7 | prompt_tokens=6796, candidates_tokens=242, total_tokens=7339
2025-11-21T19:47:12.979752 | celebrity_interviews_237 | chunk 8 | prompt_tokens=7154, candidates_tokens=188, total_tokens=7541
2025-11-21T19:47:37.006410 | celebrity_interviews_237 | chunk 9 | prompt_tokens=6613, candidates_tokens=204, total_tokens=7527
2025-11-21T19:48:17.322348 | celebrity_interviews_237 | chunk 10 | prompt_tokens=5148, candidates_tokens=157, total_tokens=5697
2025-11-21T19:49:04.425174 | celebrity_interviews_237 | chunk 11 | prompt_tokens=14875, candidates_tokens=344, total_tokens=16311
2025-11-21T19:49:31.162127 | celebrity_interviews_237 | chunk 12 | prompt_tokens=8954, candidates_tokens=188, total_tokens=9514
2025-11-21T19:49:47.639103 | celebrity_interviews_237 | chunk 13 | prompt_tokens=6896, candidates_tokens=193, total_tokens=7384
2025-11-21T19:49:58.257157 | celebrity_interviews_237 | chunk 14 | prompt_tokens=903, candidates_tokens=219, total_tokens=1571
2025-11-21T19:50:28.487105 | celebrity_interviews_5 | chunk 0 | prompt_tokens=9601, candidates_tokens=296, total_tokens=10658
2025-11-21T19:50:53.219645 | celebrity_interviews_5 | chunk 1 | prompt_tokens=5997, candidates_tokens=214, total_tokens=6632
2025-11-21T19:51:16.751971 | celebrity_interviews_5 | chunk 2 | prompt_tokens=7179, candidates_tokens=357, total_tokens=8895
2025-11-21T19:51:45.481611 | celebrity_interviews_5 | chunk 3 | prompt_tokens=9701, candidates_tokens=246, total_tokens=10867
2025-11-21T19:52:14.053758 | celebrity_interviews_5 | chunk 4 | prompt_tokens=8619, candidates_tokens=327, total_tokens=9777
2025-11-21T19:52:59.854805 | celebrity_interviews_5 | chunk 5 | prompt_tokens=18122, candidates_tokens=299, total_tokens=19046
2025-11-21T19:53:21.089757 | celebrity_interviews_5 | chunk 6 | prompt_tokens=4915, candidates_tokens=168, total_tokens=5604
2025-11-21T19:53:51.361883 | celebrity_interviews_5 | chunk 7 | prompt_tokens=6513, candidates_tokens=435, total_tokens=7967
2025-11-21T19:54:17.846774 | celebrity_interviews_5 | chunk 8 | prompt_tokens=9185, candidates_tokens=251, total_tokens=10216
2025-11-21T19:54:39.419201 | celebrity_interviews_5 | chunk 9 | prompt_tokens=4822, candidates_tokens=236, total_tokens=5847
2025-11-21T19:54:55.322265 | celebrity_interviews_5 | chunk 10 | prompt_tokens=3758, candidates_tokens=243, total_tokens=4303
2025-11-21T19:55:22.160639 | celebrity_interviews_5 | chunk 11 | prompt_tokens=6563, candidates_tokens=394, total_tokens=8150
2025-11-21T19:55:54.742374 | celebrity_interviews_5 | chunk 12 | prompt_tokens=12764, candidates_tokens=228, total_tokens=14441
2025-11-21T19:56:30.938823 | celebrity_interviews_5 | chunk 13 | prompt_tokens=12506, candidates_tokens=259, total_tokens=13703
2025-11-21T19:56:48.257449 | celebrity_interviews_301 | chunk 0 | prompt_tokens=5689, candidates_tokens=264, total_tokens=6377
2025-11-21T19:57:11.185605 | celebrity_interviews_301 | chunk 1 | prompt_tokens=6463, candidates_tokens=255, total_tokens=7342
2025-11-21T19:57:24.220925 | celebrity_interviews_301 | chunk 2 | prompt_tokens=2368, candidates_tokens=161, total_tokens=3228
2025-11-21T19:57:36.301521 | celebrity_interviews_301 | chunk 3 | prompt_tokens=2601, candidates_tokens=196, total_tokens=3126
2025-11-21T19:58:45.436888 | celebrity_interviews_301 | chunk 4 | prompt_tokens=17883, candidates_tokens=355, total_tokens=20163
2025-11-21T19:58:59.334272 | celebrity_interviews_301 | chunk 5 | prompt_tokens=2010, candidates_tokens=206, total_tokens=2806
2025-11-21T19:59:36.607869 | celebrity_interviews_301 | chunk 6 | prompt_tokens=12797, candidates_tokens=413, total_tokens=13914
2025-11-21T20:00:13.934957 | celebrity_interviews_301 | chunk 7 | prompt_tokens=22843, candidates_tokens=260, total_tokens=23645
2025-11-21T20:00:43.067472 | celebrity_interviews_301 | chunk 8 | prompt_tokens=21562, candidates_tokens=155, total_tokens=22045
2025-11-21T20:01:11.874782 | celebrity_interviews_301 | chunk 9 | prompt_tokens=14229, candidates_tokens=318, total_tokens=15020
2025-11-21T20:01:45.843500 | celebrity_interviews_301 | chunk 10 | prompt_tokens=13921, candidates_tokens=272, total_tokens=14848
2025-11-21T20:02:15.587638 | celebrity_interviews_301 | chunk 11 | prompt_tokens=13563, candidates_tokens=214, total_tokens=14133
2025-11-21T20:02:44.905580 | celebrity_interviews_301 | chunk 12 | prompt_tokens=9293, candidates_tokens=276, total_tokens=10258
2025-11-21T20:03:31.566562 | celebrity_interviews_301 | chunk 13 | prompt_tokens=23801, candidates_tokens=302, total_tokens=24947
2025-11-21T20:03:56.236841 | celebrity_interviews_270 | chunk 0 | prompt_tokens=7645, candidates_tokens=226, total_tokens=8596
2025-11-21T20:04:24.725394 | celebrity_interviews_270 | chunk 1 | prompt_tokens=10500, candidates_tokens=278, total_tokens=11635
2025-11-21T20:04:55.615160 | celebrity_interviews_270 | chunk 2 | prompt_tokens=13072, candidates_tokens=282, total_tokens=13991
2025-11-21T20:05:27.092476 | celebrity_interviews_270 | chunk 3 | prompt_tokens=12795, candidates_tokens=250, total_tokens=13598
2025-11-21T20:05:52.066361 | celebrity_interviews_270 | chunk 4 | prompt_tokens=9726, candidates_tokens=291, total_tokens=10653
2025-11-21T20:06:29.278954 | celebrity_interviews_270 | chunk 5 | prompt_tokens=13688, candidates_tokens=233, total_tokens=14943
2025-11-21T20:06:46.162189 | celebrity_interviews_270 | chunk 6 | prompt_tokens=6047, candidates_tokens=279, total_tokens=6878
2025-11-21T20:07:13.407904 | celebrity_interviews_270 | chunk 7 | prompt_tokens=10450, candidates_tokens=384, total_tokens=11959
2025-11-21T20:07:28.746044 | celebrity_interviews_270 | chunk 8 | prompt_tokens=3425, candidates_tokens=270, total_tokens=4487
2025-11-21T20:07:48.288063 | celebrity_interviews_270 | chunk 9 | prompt_tokens=6821, candidates_tokens=238, total_tokens=7644
2025-11-21T20:08:04.584596 | celebrity_interviews_270 | chunk 10 | prompt_tokens=4242, candidates_tokens=209, total_tokens=4797
2025-11-21T20:08:33.021121 | celebrity_interviews_270 | chunk 11 | prompt_tokens=9564, candidates_tokens=126, total_tokens=9987
2025-11-21T20:08:50.284729 | celebrity_interviews_270 | chunk 12 | prompt_tokens=4815, candidates_tokens=197, total_tokens=5576
2025-11-21T20:09:12.406156 | celebrity_interviews_270 | chunk 13 | prompt_tokens=9343, candidates_tokens=218, total_tokens=10051
2025-11-21T20:09:59.571466 | celebrity_interviews_270 | chunk 14 | prompt_tokens=22411, candidates_tokens=225, total_tokens=23428
2025-11-21T20:10:36.161425 | celebrity_interviews_270 | chunk 15 | prompt_tokens=16235, candidates_tokens=93, total_tokens=17199
2025-11-21T20:11:30.323020 | celebrity_interviews_8 | chunk 0 | prompt_tokens=19531, candidates_tokens=506, total_tokens=20741
2025-11-21T20:12:16.357814 | celebrity_interviews_8 | chunk 1 | prompt_tokens=14745, candidates_tokens=264, total_tokens=15782
2025-11-21T20:13:04.398014 | celebrity_interviews_8 | chunk 2 | prompt_tokens=16185, candidates_tokens=236, total_tokens=16986
2025-11-21T20:13:43.700160 | celebrity_interviews_8 | chunk 3 | prompt_tokens=14874, candidates_tokens=278, total_tokens=15693
2025-11-21T20:14:46.898492 | celebrity_interviews_8 | chunk 4 | prompt_tokens=18449, candidates_tokens=423, total_tokens=19979
2025-11-21T20:15:34.281465 | celebrity_interviews_8 | chunk 5 | prompt_tokens=13122, candidates_tokens=257, total_tokens=14727
2025-11-21T20:16:04.501510 | celebrity_interviews_8 | chunk 6 | prompt_tokens=7362, candidates_tokens=311, total_tokens=8650
2025-11-21T20:16:42.891490 | celebrity_interviews_8 | chunk 7 | prompt_tokens=11335, candidates_tokens=256, total_tokens=12197
2025-11-21T20:16:53.358347 | celebrity_interviews_8 | chunk 8 | prompt_tokens=1419, candidates_tokens=229, total_tokens=2038
2025-11-21T20:17:28.955786 | celebrity_interviews_8 | chunk 9 | prompt_tokens=8469, candidates_tokens=316, total_tokens=9356
2025-11-21T20:17:43.552781 | celebrity_interviews_83 | chunk 0 | prompt_tokens=4846, candidates_tokens=189, total_tokens=5257
2025-11-21T20:18:14.435792 | celebrity_interviews_83 | chunk 1 | prompt_tokens=8336, candidates_tokens=190, total_tokens=8897
2025-11-21T20:18:54.580427 | celebrity_interviews_83 | chunk 2 | prompt_tokens=13085, candidates_tokens=246, total_tokens=13709
2025-11-21T20:20:03.588523 | celebrity_interviews_83 | chunk 3 | prompt_tokens=21612, candidates_tokens=225, total_tokens=22119
