2025-11-21T00:38:33.209286 | science_explainers_104 | chunk 0 | prompt_tokens=707, candidates_tokens=115, total_tokens=822
2025-11-21T00:42:50.497506 | science_explainers_157 | chunk 1 | prompt_tokens=2707, candidates_tokens=187, total_tokens=2894
2025-11-21T00:43:00.173529 | science_explainers_157 | chunk 2 | prompt_tokens=1757, candidates_tokens=102, total_tokens=1859
2025-11-21T00:43:10.843867 | science_explainers_157 | chunk 3 | prompt_tokens=1757, candidates_tokens=101, total_tokens=1858
2025-11-21T00:43:17.600197 | science_explainers_157 | chunk 4 | prompt_tokens=707, candidates_tokens=62, total_tokens=769
2025-11-21T00:43:26.013695 | science_explainers_157 | chunk 5 | prompt_tokens=957, candidates_tokens=88, total_tokens=1045
2025-11-21T00:43:31.976244 | science_explainers_157 | chunk 6 | prompt_tokens=907, candidates_tokens=101, total_tokens=1008
2025-11-21T00:43:36.604076 | science_explainers_157 | chunk 7 | prompt_tokens=832, candidates_tokens=64, total_tokens=896
2025-11-21T00:43:41.697639 | science_explainers_157 | chunk 8 | prompt_tokens=1207, candidates_tokens=81, total_tokens=1288
2025-11-21T00:44:01.341270 | science_explainers_157 | chunk 9 | prompt_tokens=1757, candidates_tokens=153, total_tokens=1910
2025-11-21T00:44:06.313084 | science_explainers_157 | chunk 10 | prompt_tokens=1107, candidates_tokens=107, total_tokens=1214
2025-11-21T00:44:12.640117 | science_explainers_157 | chunk 11 | prompt_tokens=757, candidates_tokens=66, total_tokens=823
2025-11-21T00:44:25.418552 | science_explainers_157 | chunk 12 | prompt_tokens=1707, candidates_tokens=81, total_tokens=1788
2025-11-21T00:44:36.659944 | science_explainers_241 | chunk 0 | prompt_tokens=1382, candidates_tokens=101, total_tokens=1483
2025-11-21T00:44:49.055565 | science_explainers_241 | chunk 1 | prompt_tokens=2157, candidates_tokens=121, total_tokens=2278
2025-11-21T00:44:55.349805 | science_explainers_241 | chunk 2 | prompt_tokens=1032, candidates_tokens=144, total_tokens=1176
2025-11-21T00:45:00.149919 | science_explainers_241 | chunk 3 | prompt_tokens=707, candidates_tokens=62, total_tokens=769
2025-11-21T00:45:05.605219 | science_explainers_241 | chunk 4 | prompt_tokens=1082, candidates_tokens=73, total_tokens=1155
2025-11-21T00:45:13.087798 | science_explainers_241 | chunk 5 | prompt_tokens=832, candidates_tokens=72, total_tokens=904
2025-11-21T00:45:17.988872 | science_explainers_241 | chunk 6 | prompt_tokens=432, candidates_tokens=60, total_tokens=492
2025-11-21T00:45:23.664836 | science_explainers_241 | chunk 7 | prompt_tokens=957, candidates_tokens=57, total_tokens=1014
2025-11-21T00:45:32.194358 | science_explainers_241 | chunk 8 | prompt_tokens=1307, candidates_tokens=116, total_tokens=1423
2025-11-21T00:45:39.728432 | science_explainers_241 | chunk 9 | prompt_tokens=1732, candidates_tokens=97, total_tokens=1829
2025-11-21T00:45:53.163178 | science_explainers_241 | chunk 10 | prompt_tokens=1532, candidates_tokens=71, total_tokens=1603
2025-11-21T00:45:59.830978 | science_explainers_241 | chunk 11 | prompt_tokens=1132, candidates_tokens=66, total_tokens=1198
2025-11-21T00:46:05.745371 | science_explainers_241 | chunk 12 | prompt_tokens=682, candidates_tokens=74, total_tokens=756
2025-11-21T00:46:12.419589 | science_explainers_241 | chunk 13 | prompt_tokens=732, candidates_tokens=38, total_tokens=770
2025-11-21T00:46:20.237968 | science_explainers_241 | chunk 14 | prompt_tokens=1082, candidates_tokens=85, total_tokens=1167
2025-11-21T00:46:25.801766 | science_explainers_194 | chunk 0 | prompt_tokens=532, candidates_tokens=65, total_tokens=597
2025-11-21T00:46:29.305404 | science_explainers_194 | chunk 1 | prompt_tokens=482, candidates_tokens=75, total_tokens=557
2025-11-21T00:46:32.787707 | science_explainers_194 | chunk 2 | prompt_tokens=532, candidates_tokens=67, total_tokens=599
2025-11-21T00:46:37.974930 | science_explainers_194 | chunk 3 | prompt_tokens=982, candidates_tokens=93, total_tokens=1075
2025-11-21T00:46:41.877342 | science_explainers_194 | chunk 4 | prompt_tokens=857, candidates_tokens=85, total_tokens=942
2025-11-21T00:46:46.586698 | science_explainers_194 | chunk 5 | prompt_tokens=757, candidates_tokens=81, total_tokens=838
2025-11-21T00:46:50.459501 | science_explainers_194 | chunk 6 | prompt_tokens=1082, candidates_tokens=85, total_tokens=1167
2025-11-21T00:46:54.451571 | science_explainers_194 | chunk 7 | prompt_tokens=632, candidates_tokens=92, total_tokens=724
2025-11-21T00:47:01.081116 | science_explainers_194 | chunk 8 | prompt_tokens=557, candidates_tokens=61, total_tokens=618
2025-11-21T00:47:23.831760 | science_explainers_194 | chunk 9 | prompt_tokens=1282, candidates_tokens=64, total_tokens=1346
2025-11-21T00:47:35.273744 | science_explainers_194 | chunk 10 | prompt_tokens=1407, candidates_tokens=148, total_tokens=1555
2025-11-21T00:48:01.633216 | science_explainers_194 | chunk 11 | prompt_tokens=2682, candidates_tokens=80, total_tokens=2762
2025-11-21T00:48:19.609968 | science_explainers_194 | chunk 12 | prompt_tokens=2807, candidates_tokens=90, total_tokens=2897
2025-11-21T00:48:24.525236 | science_explainers_349 | chunk 0 | prompt_tokens=932, candidates_tokens=69, total_tokens=1001
2025-11-21T00:48:40.196991 | science_explainers_349 | chunk 1 | prompt_tokens=2057, candidates_tokens=79, total_tokens=2136
2025-11-21T00:48:44.749873 | science_explainers_349 | chunk 2 | prompt_tokens=807, candidates_tokens=83, total_tokens=890
2025-11-21T00:48:53.234961 | science_explainers_349 | chunk 3 | prompt_tokens=1182, candidates_tokens=62, total_tokens=1244
2025-11-21T00:49:01.455839 | science_explainers_349 | chunk 4 | prompt_tokens=1257, candidates_tokens=88, total_tokens=1345
2025-11-21T00:49:10.630506 | science_explainers_349 | chunk 5 | prompt_tokens=1307, candidates_tokens=72, total_tokens=1379
2025-11-21T00:49:27.151612 | science_explainers_349 | chunk 6 | prompt_tokens=1282, candidates_tokens=65, total_tokens=1347
2025-11-21T00:49:33.608394 | science_explainers_349 | chunk 7 | prompt_tokens=832, candidates_tokens=75, total_tokens=907
2025-11-21T00:49:48.101982 | science_explainers_349 | chunk 8 | prompt_tokens=2407, candidates_tokens=116, total_tokens=2523
2025-11-21T00:49:51.635930 | science_explainers_349 | chunk 9 | prompt_tokens=457, candidates_tokens=20, total_tokens=477
2025-11-21T00:49:56.410616 | science_explainers_268 | chunk 0 | prompt_tokens=707, candidates_tokens=65, total_tokens=772
2025-11-21T00:50:05.294099 | science_explainers_268 | chunk 1 | prompt_tokens=2082, candidates_tokens=97, total_tokens=2179
2025-11-21T00:50:09.907410 | science_explainers_268 | chunk 2 | prompt_tokens=407, candidates_tokens=38, total_tokens=445
2025-11-21T00:50:13.588491 | science_explainers_268 | chunk 3 | prompt_tokens=757, candidates_tokens=68, total_tokens=825
2025-11-21T00:50:22.377001 | science_explainers_268 | chunk 4 | prompt_tokens=1307, candidates_tokens=88, total_tokens=1395
2025-11-21T00:50:28.055783 | science_explainers_268 | chunk 5 | prompt_tokens=1057, candidates_tokens=63, total_tokens=1120
2025-11-21T00:50:33.723005 | science_explainers_268 | chunk 6 | prompt_tokens=1232, candidates_tokens=97, total_tokens=1329
2025-11-21T00:50:42.439433 | science_explainers_268 | chunk 7 | prompt_tokens=932, candidates_tokens=57, total_tokens=989
2025-11-21T00:50:47.351444 | science_explainers_268 | chunk 8 | prompt_tokens=1107, candidates_tokens=98, total_tokens=1205
2025-11-21T00:50:52.690402 | science_explainers_268 | chunk 9 | prompt_tokens=1032, candidates_tokens=77, total_tokens=1109
2025-11-21T00:51:12.530457 | science_explainers_268 | chunk 10 | prompt_tokens=2132, candidates_tokens=64, total_tokens=2196
2025-11-21T00:51:20.675414 | science_explainers_268 | chunk 11 | prompt_tokens=1082, candidates_tokens=91, total_tokens=1173
2025-11-21T00:51:25.646738 | science_explainers_268 | chunk 12 | prompt_tokens=857, candidates_tokens=54, total_tokens=911
2025-11-21T00:51:30.899256 | science_explainers_5 | chunk 0 | prompt_tokens=1457, candidates_tokens=104, total_tokens=1561
2025-11-21T00:51:45.967782 | science_explainers_5 | chunk 1 | prompt_tokens=1857, candidates_tokens=144, total_tokens=2001
2025-11-21T00:51:52.618542 | science_explainers_5 | chunk 2 | prompt_tokens=2607, candidates_tokens=84, total_tokens=2691
2025-11-21T00:52:12.469867 | science_explainers_5 | chunk 3 | prompt_tokens=2982, candidates_tokens=85, total_tokens=3067
2025-11-21T00:52:21.833689 | science_explainers_5 | chunk 4 | prompt_tokens=1557, candidates_tokens=108, total_tokens=1665
2025-11-21T00:52:33.399021 | science_explainers_5 | chunk 5 | prompt_tokens=1482, candidates_tokens=143, total_tokens=1625
2025-11-21T00:52:49.322047 | science_explainers_5 | chunk 6 | prompt_tokens=2082, candidates_tokens=126, total_tokens=2208
2025-11-21T00:53:01.282055 | science_explainers_5 | chunk 7 | prompt_tokens=1207, candidates_tokens=78, total_tokens=1285
2025-11-21T00:53:05.444766 | science_explainers_5 | chunk 8 | prompt_tokens=432, candidates_tokens=50, total_tokens=482
2025-11-21T00:53:10.900368 | science_explainers_103 | chunk 0 | prompt_tokens=907, candidates_tokens=88, total_tokens=995
2025-11-21T00:53:21.167209 | science_explainers_103 | chunk 1 | prompt_tokens=757, candidates_tokens=36, total_tokens=793
2025-11-21T00:53:26.652646 | science_explainers_103 | chunk 2 | prompt_tokens=757, candidates_tokens=55, total_tokens=812
2025-11-21T00:53:32.939970 | science_explainers_103 | chunk 3 | prompt_tokens=982, candidates_tokens=63, total_tokens=1045
2025-11-21T00:53:37.828014 | science_explainers_103 | chunk 4 | prompt_tokens=607, candidates_tokens=53, total_tokens=660
2025-11-21T00:53:46.190234 | science_explainers_103 | chunk 5 | prompt_tokens=957, candidates_tokens=89, total_tokens=1046
2025-11-21T00:53:52.132002 | science_explainers_103 | chunk 6 | prompt_tokens=957, candidates_tokens=56, total_tokens=1013
2025-11-21T00:53:57.853008 | science_explainers_103 | chunk 7 | prompt_tokens=482, candidates_tokens=59, total_tokens=541
2025-11-21T00:54:15.162588 | science_explainers_103 | chunk 8 | prompt_tokens=2332, candidates_tokens=108, total_tokens=2440
2025-11-21T00:54:21.995512 | science_explainers_103 | chunk 9 | prompt_tokens=1082, candidates_tokens=131, total_tokens=1213
2025-11-21T00:54:27.469012 | science_explainers_103 | chunk 10 | prompt_tokens=832, candidates_tokens=63, total_tokens=895
2025-11-21T00:54:40.363752 | science_explainers_103 | chunk 11 | prompt_tokens=1082, candidates_tokens=87, total_tokens=1169
2025-11-21T00:54:46.034375 | science_explainers_103 | chunk 12 | prompt_tokens=657, candidates_tokens=71, total_tokens=728
2025-11-21T00:54:59.789175 | science_explainers_103 | chunk 13 | prompt_tokens=1632, candidates_tokens=112, total_tokens=1744
2025-11-21T00:55:14.806631 | science_explainers_399 | chunk 0 | prompt_tokens=1432, candidates_tokens=100, total_tokens=1532
2025-11-21T00:55:22.956699 | science_explainers_399 | chunk 1 | prompt_tokens=1482, candidates_tokens=102, total_tokens=1584
2025-11-21T00:55:28.099541 | science_explainers_399 | chunk 2 | prompt_tokens=1107, candidates_tokens=93, total_tokens=1200
2025-11-21T00:55:48.005890 | science_explainers_399 | chunk 3 | prompt_tokens=1132, candidates_tokens=83, total_tokens=1215
2025-11-21T00:56:09.153027 | science_explainers_399 | chunk 4 | prompt_tokens=1532, candidates_tokens=118, total_tokens=1650
2025-11-21T00:56:14.795618 | science_explainers_399 | chunk 5 | prompt_tokens=1082, candidates_tokens=107, total_tokens=1189
2025-11-21T00:56:23.884573 | science_explainers_399 | chunk 6 | prompt_tokens=807, candidates_tokens=97, total_tokens=904
2025-11-21T00:57:00.055128 | science_explainers_399 | chunk 7 | prompt_tokens=807, candidates_tokens=95, total_tokens=902
2025-11-21T00:59:00.491353 | science_explainers_399 | chunk 8 | prompt_tokens=632, candidates_tokens=68, total_tokens=700
2025-11-21T00:59:05.701982 | science_explainers_399 | chunk 9 | prompt_tokens=782, candidates_tokens=82, total_tokens=864
2025-11-21T00:59:14.397528 | science_explainers_399 | chunk 10 | prompt_tokens=1607, candidates_tokens=56, total_tokens=1663
2025-11-21T00:59:23.597330 | science_explainers_399 | chunk 11 | prompt_tokens=2182, candidates_tokens=117, total_tokens=2299
2025-11-21T00:59:29.231010 | science_explainers_338 | chunk 0 | prompt_tokens=957, candidates_tokens=52, total_tokens=1009
2025-11-21T00:59:36.037777 | science_explainers_338 | chunk 1 | prompt_tokens=1182, candidates_tokens=79, total_tokens=1261
2025-11-21T00:59:40.779822 | science_explainers_338 | chunk 2 | prompt_tokens=507, candidates_tokens=83, total_tokens=590
2025-11-21T00:59:45.828619 | science_explainers_338 | chunk 3 | prompt_tokens=832, candidates_tokens=89, total_tokens=921
2025-11-21T00:59:54.862115 | science_explainers_338 | chunk 4 | prompt_tokens=1132, candidates_tokens=163, total_tokens=1295
2025-11-21T01:00:05.687944 | science_explainers_338 | chunk 5 | prompt_tokens=1957, candidates_tokens=146, total_tokens=2103
2025-11-21T01:00:10.931738 | science_explainers_338 | chunk 6 | prompt_tokens=532, candidates_tokens=68, total_tokens=600
2025-11-21T01:00:22.348453 | science_explainers_338 | chunk 7 | prompt_tokens=1857, candidates_tokens=90, total_tokens=1947
2025-11-21T01:00:36.528443 | science_explainers_338 | chunk 8 | prompt_tokens=4057, candidates_tokens=106, total_tokens=4163
2025-11-21T01:00:45.096471 | science_explainers_338 | chunk 9 | prompt_tokens=2382, candidates_tokens=114, total_tokens=2496
2025-11-21T01:00:53.188494 | science_explainers_338 | chunk 10 | prompt_tokens=1207, candidates_tokens=84, total_tokens=1291
2025-11-21T01:00:58.795406 | science_explainers_335 | chunk 0 | prompt_tokens=607, candidates_tokens=55, total_tokens=662
2025-11-21T01:01:05.903010 | science_explainers_335 | chunk 1 | prompt_tokens=1307, candidates_tokens=82, total_tokens=1389
2025-11-21T01:01:10.723752 | science_explainers_335 | chunk 2 | prompt_tokens=582, candidates_tokens=43, total_tokens=625
2025-11-21T01:01:23.270187 | science_explainers_335 | chunk 3 | prompt_tokens=2207, candidates_tokens=158, total_tokens=2365
2025-11-21T01:01:28.892098 | science_explainers_335 | chunk 4 | prompt_tokens=932, candidates_tokens=55, total_tokens=987
2025-11-21T01:01:40.297883 | science_explainers_335 | chunk 5 | prompt_tokens=757, candidates_tokens=74, total_tokens=831
2025-11-21T01:01:46.483104 | science_explainers_335 | chunk 6 | prompt_tokens=1157, candidates_tokens=68, total_tokens=1225
2025-11-21T01:01:51.391697 | science_explainers_335 | chunk 7 | prompt_tokens=1107, candidates_tokens=72, total_tokens=1179
2025-11-21T01:01:57.098825 | science_explainers_335 | chunk 8 | prompt_tokens=832, candidates_tokens=72, total_tokens=904
2025-11-21T01:02:08.253742 | science_explainers_335 | chunk 9 | prompt_tokens=1282, candidates_tokens=67, total_tokens=1349
2025-11-21T01:02:19.658614 | science_explainers_335 | chunk 10 | prompt_tokens=1407, candidates_tokens=92, total_tokens=1499
2025-11-21T01:02:28.742837 | science_explainers_335 | chunk 11 | prompt_tokens=1257, candidates_tokens=96, total_tokens=1353
2025-11-21T01:02:37.833233 | science_explainers_335 | chunk 12 | prompt_tokens=1807, candidates_tokens=99, total_tokens=1906
2025-11-21T01:02:47.493725 | science_explainers_335 | chunk 13 | prompt_tokens=832, candidates_tokens=51, total_tokens=883
2025-11-21T01:03:00.082159 | science_explainers_335 | chunk 14 | prompt_tokens=1107, candidates_tokens=93, total_tokens=1200
2025-11-21T01:03:04.500280 | science_explainers_335 | chunk 15 | prompt_tokens=557, candidates_tokens=52, total_tokens=609
2025-11-21T01:03:08.526913 | science_explainers_335 | chunk 16 | prompt_tokens=382, candidates_tokens=75, total_tokens=457
2025-11-21T01:03:18.805280 | science_explainers_46 | chunk 0 | prompt_tokens=2357, candidates_tokens=242, total_tokens=2599
2025-11-21T01:03:23.231909 | science_explainers_46 | chunk 1 | prompt_tokens=857, candidates_tokens=88, total_tokens=945
2025-11-21T01:03:28.781288 | science_explainers_46 | chunk 2 | prompt_tokens=957, candidates_tokens=73, total_tokens=1030
2025-11-21T01:03:34.532097 | science_explainers_46 | chunk 3 | prompt_tokens=907, candidates_tokens=80, total_tokens=987
2025-11-21T01:03:41.602570 | science_explainers_46 | chunk 4 | prompt_tokens=957, candidates_tokens=91, total_tokens=1048
2025-11-21T01:03:51.561583 | science_explainers_46 | chunk 5 | prompt_tokens=2207, candidates_tokens=73, total_tokens=2280
2025-11-21T01:03:56.217935 | science_explainers_46 | chunk 6 | prompt_tokens=957, candidates_tokens=75, total_tokens=1032
2025-11-21T01:04:05.611847 | science_explainers_46 | chunk 7 | prompt_tokens=1632, candidates_tokens=89, total_tokens=1721
2025-11-21T01:04:10.463588 | science_explainers_46 | chunk 8 | prompt_tokens=1007, candidates_tokens=95, total_tokens=1102
2025-11-21T01:04:14.918757 | science_explainers_46 | chunk 9 | prompt_tokens=532, candidates_tokens=59, total_tokens=591
2025-11-21T01:04:22.985229 | science_explainers_46 | chunk 10 | prompt_tokens=1657, candidates_tokens=113, total_tokens=1770
2025-11-21T01:04:28.318454 | science_explainers_46 | chunk 11 | prompt_tokens=832, candidates_tokens=71, total_tokens=903
2025-11-21T01:04:33.557576 | science_explainers_46 | chunk 12 | prompt_tokens=932, candidates_tokens=60, total_tokens=992
2025-11-21T01:04:42.529005 | science_explainers_46 | chunk 13 | prompt_tokens=1457, candidates_tokens=96, total_tokens=1553
2025-11-21T01:04:57.266573 | science_explainers_46 | chunk 14 | prompt_tokens=1357, candidates_tokens=94, total_tokens=1451
2025-11-21T01:05:06.390542 | science_explainers_72 | chunk 0 | prompt_tokens=1782, candidates_tokens=148, total_tokens=1930
2025-11-21T01:05:13.447944 | science_explainers_72 | chunk 1 | prompt_tokens=1757, candidates_tokens=94, total_tokens=1851
2025-11-21T01:05:20.228193 | science_explainers_72 | chunk 2 | prompt_tokens=682, candidates_tokens=69, total_tokens=751
2025-11-21T01:05:27.785496 | science_explainers_72 | chunk 3 | prompt_tokens=1332, candidates_tokens=124, total_tokens=1456
2025-11-21T01:05:47.381806 | science_explainers_72 | chunk 4 | prompt_tokens=2557, candidates_tokens=83, total_tokens=2640
2025-11-21T01:05:51.425699 | science_explainers_72 | chunk 5 | prompt_tokens=457, candidates_tokens=74, total_tokens=531
2025-11-21T01:05:55.072987 | science_explainers_72 | chunk 6 | prompt_tokens=457, candidates_tokens=67, total_tokens=524
2025-11-21T01:06:01.575876 | science_explainers_72 | chunk 7 | prompt_tokens=932, candidates_tokens=78, total_tokens=1010
2025-11-21T01:06:11.288407 | science_explainers_72 | chunk 8 | prompt_tokens=1307, candidates_tokens=117, total_tokens=1424
2025-11-21T01:06:17.003065 | science_explainers_72 | chunk 9 | prompt_tokens=1082, candidates_tokens=112, total_tokens=1194
2025-11-21T01:06:21.098974 | science_explainers_72 | chunk 10 | prompt_tokens=432, candidates_tokens=98, total_tokens=530
2025-11-21T01:06:25.839870 | science_explainers_72 | chunk 11 | prompt_tokens=732, candidates_tokens=49, total_tokens=781
2025-11-21T01:06:30.197699 | science_explainers_72 | chunk 12 | prompt_tokens=957, candidates_tokens=85, total_tokens=1042
2025-11-21T01:06:36.971276 | science_explainers_72 | chunk 13 | prompt_tokens=1157, candidates_tokens=112, total_tokens=1269
2025-11-21T01:06:45.320059 | science_explainers_72 | chunk 14 | prompt_tokens=2182, candidates_tokens=86, total_tokens=2268
2025-11-21T01:06:49.490492 | science_explainers_384 | chunk 0 | prompt_tokens=607, candidates_tokens=67, total_tokens=674
2025-11-21T01:06:54.707842 | science_explainers_384 | chunk 1 | prompt_tokens=1207, candidates_tokens=56, total_tokens=1263
2025-11-21T01:06:58.215346 | science_explainers_384 | chunk 2 | prompt_tokens=682, candidates_tokens=78, total_tokens=760
2025-11-21T01:07:03.245042 | science_explainers_384 | chunk 3 | prompt_tokens=882, candidates_tokens=63, total_tokens=945
2025-11-21T01:07:07.986262 | science_explainers_384 | chunk 4 | prompt_tokens=1107, candidates_tokens=74, total_tokens=1181
2025-11-21T01:07:11.497626 | science_explainers_384 | chunk 5 | prompt_tokens=857, candidates_tokens=75, total_tokens=932
2025-11-21T01:10:21.185412 | science_explainers_384 | chunk 6 | prompt_tokens=1182, candidates_tokens=69, total_tokens=1251
2025-11-21T01:10:28.820967 | science_explainers_384 | chunk 7 | prompt_tokens=1632, candidates_tokens=104, total_tokens=1736
2025-11-21T01:10:37.503207 | science_explainers_384 | chunk 8 | prompt_tokens=1007, candidates_tokens=92, total_tokens=1099
2025-11-21T01:10:44.970937 | science_explainers_384 | chunk 9 | prompt_tokens=1357, candidates_tokens=70, total_tokens=1427
2025-11-21T01:10:51.993244 | science_explainers_384 | chunk 10 | prompt_tokens=707, candidates_tokens=47, total_tokens=754
2025-11-21T01:11:00.273115 | science_explainers_384 | chunk 11 | prompt_tokens=882, candidates_tokens=65, total_tokens=947
2025-11-21T01:11:05.162818 | science_explainers_384 | chunk 12 | prompt_tokens=782, candidates_tokens=74, total_tokens=856
2025-11-21T01:11:11.804064 | science_explainers_384 | chunk 13 | prompt_tokens=532, candidates_tokens=59, total_tokens=591
2025-11-21T01:11:18.980116 | science_explainers_384 | chunk 14 | prompt_tokens=907, candidates_tokens=93, total_tokens=1000
2025-11-21T01:11:26.068533 | science_explainers_384 | chunk 15 | prompt_tokens=1407, candidates_tokens=109, total_tokens=1516
2025-11-21T01:11:32.631587 | science_explainers_384 | chunk 16 | prompt_tokens=1032, candidates_tokens=88, total_tokens=1120
2025-11-21T01:11:40.644289 | science_explainers_384 | chunk 17 | prompt_tokens=857, candidates_tokens=83, total_tokens=940
2025-11-21T01:11:44.887005 | science_explainers_384 | chunk 18 | prompt_tokens=907, candidates_tokens=88, total_tokens=995
2025-11-21T01:11:47.537687 | science_explainers_384 | chunk 19 | prompt_tokens=307, candidates_tokens=49, total_tokens=356
2025-11-21T01:11:53.359632 | science_explainers_127 | chunk 0 | prompt_tokens=1357, candidates_tokens=76, total_tokens=1433
2025-11-21T01:12:02.994751 | science_explainers_127 | chunk 1 | prompt_tokens=1282, candidates_tokens=133, total_tokens=1415
2025-11-21T01:12:10.932527 | science_explainers_127 | chunk 2 | prompt_tokens=1832, candidates_tokens=112, total_tokens=1944
2025-11-21T01:12:16.375060 | science_explainers_127 | chunk 3 | prompt_tokens=1632, candidates_tokens=135, total_tokens=1767
2025-11-21T01:12:31.376904 | science_explainers_127 | chunk 4 | prompt_tokens=2382, candidates_tokens=138, total_tokens=2520
2025-11-21T01:12:37.413886 | science_explainers_127 | chunk 5 | prompt_tokens=832, candidates_tokens=63, total_tokens=895
2025-11-21T01:12:45.020740 | science_explainers_127 | chunk 6 | prompt_tokens=1432, candidates_tokens=99, total_tokens=1531
2025-11-21T01:12:49.220998 | science_explainers_127 | chunk 7 | prompt_tokens=907, candidates_tokens=86, total_tokens=993
2025-11-21T01:12:57.133674 | science_explainers_127 | chunk 8 | prompt_tokens=507, candidates_tokens=56, total_tokens=563
2025-11-21T01:13:05.236014 | science_explainers_127 | chunk 9 | prompt_tokens=932, candidates_tokens=98, total_tokens=1030
