2025-11-21T17:48:24.152095 | science_explainers_341 | chunk 0 | prompt_tokens=5764, candidates_tokens=330, total_tokens=7170
2025-11-21T18:11:46.032937 | science_explainers_60 | chunk 1 | prompt_tokens=9393, candidates_tokens=170, total_tokens=9988
2025-11-21T18:11:58.215738 | science_explainers_60 | chunk 2 | prompt_tokens=6022, candidates_tokens=204, total_tokens=6658
2025-11-21T18:12:13.995025 | science_explainers_60 | chunk 3 | prompt_tokens=21279, candidates_tokens=183, total_tokens=21628
2025-11-21T18:12:25.242840 | science_explainers_60 | chunk 4 | prompt_tokens=5972, candidates_tokens=164, total_tokens=6401
2025-11-21T18:12:37.538296 | science_explainers_60 | chunk 5 | prompt_tokens=7079, candidates_tokens=182, total_tokens=7564
2025-11-21T18:12:52.886465 | science_explainers_60 | chunk 6 | prompt_tokens=18682, candidates_tokens=145, total_tokens=19497
2025-11-21T18:13:12.795527 | science_explainers_60 | chunk 7 | prompt_tokens=17858, candidates_tokens=235, total_tokens=18636
2025-11-21T18:13:34.793141 | science_explainers_60 | chunk 8 | prompt_tokens=22977, candidates_tokens=108, total_tokens=23519
2025-11-21T18:13:49.071619 | science_explainers_60 | chunk 9 | prompt_tokens=10783, candidates_tokens=101, total_tokens=11074
2025-11-21T18:14:11.281718 | science_explainers_46 | chunk 0 | prompt_tokens=24084, candidates_tokens=313, total_tokens=25642
2025-11-21T18:14:20.819306 | science_explainers_46 | chunk 1 | prompt_tokens=7129, candidates_tokens=145, total_tokens=7595
2025-11-21T18:14:38.758605 | science_explainers_46 | chunk 2 | prompt_tokens=7928, candidates_tokens=378, total_tokens=9404
2025-11-21T18:14:50.690384 | science_explainers_46 | chunk 3 | prompt_tokens=7079, candidates_tokens=291, total_tokens=8054
2025-11-21T18:15:04.592149 | science_explainers_46 | chunk 4 | prompt_tokens=8569, candidates_tokens=249, total_tokens=9420
2025-11-21T18:15:45.574377 | science_explainers_46 | chunk 5 | prompt_tokens=24596, candidates_tokens=596, total_tokens=26281
2025-11-21T18:15:58.278778 | science_explainers_46 | chunk 6 | prompt_tokens=8544, candidates_tokens=221, total_tokens=9127
2025-11-21T18:16:36.858941 | science_explainers_46 | chunk 7 | prompt_tokens=17813, candidates_tokens=542, total_tokens=19474
2025-11-21T18:16:50.314654 | science_explainers_46 | chunk 8 | prompt_tokens=8469, candidates_tokens=207, total_tokens=9212
2025-11-21T18:17:03.044798 | science_explainers_46 | chunk 9 | prompt_tokens=3425, candidates_tokens=209, total_tokens=4311
2025-11-21T18:17:17.111922 | science_explainers_46 | chunk 10 | prompt_tokens=16468, candidates_tokens=162, total_tokens=16869
2025-11-21T18:17:32.575210 | science_explainers_46 | chunk 11 | prompt_tokens=7104, candidates_tokens=282, total_tokens=8005
2025-11-21T18:17:47.535230 | science_explainers_46 | chunk 12 | prompt_tokens=7928, candidates_tokens=291, total_tokens=9209
2025-11-21T18:18:04.963478 | science_explainers_46 | chunk 13 | prompt_tokens=13896, candidates_tokens=348, total_tokens=15309
2025-11-21T18:18:21.575881 | science_explainers_46 | chunk 14 | prompt_tokens=13355, candidates_tokens=364, total_tokens=14415
2025-11-21T18:19:11.088927 | science_explainers_103 | chunk 0 | prompt_tokens=7362, candidates_tokens=564, total_tokens=7926
2025-11-21T18:19:26.757064 | science_explainers_103 | chunk 1 | prompt_tokens=6921, candidates_tokens=286, total_tokens=7714
2025-11-21T18:19:40.463143 | science_explainers_103 | chunk 2 | prompt_tokens=6280, candidates_tokens=290, total_tokens=6983
2025-11-21T18:19:51.384124 | science_explainers_103 | chunk 3 | prompt_tokens=8211, candidates_tokens=160, total_tokens=8640
2025-11-21T18:20:01.422550 | science_explainers_103 | chunk 4 | prompt_tokens=4607, candidates_tokens=221, total_tokens=5194
2025-11-21T18:20:16.303593 | science_explainers_103 | chunk 5 | prompt_tokens=7620, candidates_tokens=259, total_tokens=8659
2025-11-21T18:20:28.078711 | science_explainers_103 | chunk 6 | prompt_tokens=7645, candidates_tokens=135, total_tokens=8384
2025-11-21T18:20:36.896511 | science_explainers_103 | chunk 7 | prompt_tokens=2526, candidates_tokens=149, total_tokens=3081
2025-11-21T18:21:05.750546 | science_explainers_103 | chunk 8 | prompt_tokens=24109, candidates_tokens=445, total_tokens=25732
2025-11-21T18:21:42.458032 | science_explainers_103 | chunk 9 | prompt_tokens=11331, candidates_tokens=197, total_tokens=12189
2025-11-21T18:21:58.076223 | science_explainers_103 | chunk 10 | prompt_tokens=7437, candidates_tokens=137, total_tokens=7899
2025-11-21T18:22:15.245672 | science_explainers_103 | chunk 11 | prompt_tokens=9035, candidates_tokens=306, total_tokens=9819
2025-11-21T18:22:27.841247 | science_explainers_103 | chunk 12 | prompt_tokens=4507, candidates_tokens=160, total_tokens=5236
2025-11-21T18:22:51.160721 | science_explainers_103 | chunk 13 | prompt_tokens=15569, candidates_tokens=222, total_tokens=16520
2025-11-21T18:23:01.358205 | science_explainers_45 | chunk 0 | prompt_tokens=2526, candidates_tokens=164, total_tokens=3062
2025-11-21T18:23:31.382255 | science_explainers_45 | chunk 1 | prompt_tokens=13087, candidates_tokens=418, total_tokens=14060
2025-11-21T18:24:03.508013 | science_explainers_45 | chunk 2 | prompt_tokens=10292, candidates_tokens=433, total_tokens=11535
2025-11-21T18:25:00.867088 | science_explainers_45 | chunk 4 | prompt_tokens=15741, candidates_tokens=281, total_tokens=16750
2025-11-21T18:25:16.361727 | science_explainers_45 | chunk 5 | prompt_tokens=9110, candidates_tokens=122, total_tokens=9485
2025-11-21T18:25:33.201439 | science_explainers_45 | chunk 6 | prompt_tokens=14254, candidates_tokens=453, total_tokens=15328
2025-11-21T18:25:49.167110 | science_explainers_45 | chunk 7 | prompt_tokens=7079, candidates_tokens=449, total_tokens=8706
2025-11-21T18:26:05.217049 | science_explainers_45 | chunk 8 | prompt_tokens=13946, candidates_tokens=132, total_tokens=14308
2025-11-21T18:26:31.248586 | science_explainers_45 | chunk 9 | prompt_tokens=25216, candidates_tokens=581, total_tokens=26647
2025-11-21T18:26:45.408286 | science_explainers_45 | chunk 10 | prompt_tokens=6022, candidates_tokens=301, total_tokens=7310
2025-11-21T18:27:03.321036 | science_explainers_36 | chunk 0 | prompt_tokens=3400, candidates_tokens=234, total_tokens=4380
2025-11-21T18:27:18.707882 | science_explainers_36 | chunk 1 | prompt_tokens=20996, candidates_tokens=121, total_tokens=21164
2025-11-21T18:27:33.133925 | science_explainers_36 | chunk 2 | prompt_tokens=6846, candidates_tokens=276, total_tokens=8036
2025-11-21T18:27:59.266726 | science_explainers_36 | chunk 3 | prompt_tokens=15386, candidates_tokens=363, total_tokens=16688
2025-11-21T18:28:23.088384 | science_explainers_36 | chunk 4 | prompt_tokens=19248, candidates_tokens=599, total_tokens=20813
2025-11-21T18:28:54.219184 | science_explainers_36 | chunk 5 | prompt_tokens=7503, candidates_tokens=217, total_tokens=8218
2025-11-21T18:29:04.837855 | science_explainers_36 | chunk 6 | prompt_tokens=4865, candidates_tokens=186, total_tokens=5462
2025-11-21T18:29:20.316643 | science_explainers_36 | chunk 7 | prompt_tokens=6538, candidates_tokens=215, total_tokens=7667
2025-11-21T18:29:36.653617 | science_explainers_36 | chunk 8 | prompt_tokens=13871, candidates_tokens=299, total_tokens=14730
2025-11-21T18:29:56.978465 | science_explainers_36 | chunk 9 | prompt_tokens=20197, candidates_tokens=323, total_tokens=21869
2025-11-21T18:30:15.723465 | science_explainers_36 | chunk 10 | prompt_tokens=5406, candidates_tokens=417, total_tokens=7000
2025-11-21T18:30:25.683233 | science_explainers_36 | chunk 11 | prompt_tokens=3058, candidates_tokens=233, total_tokens=4407
2025-11-21T18:30:48.088113 | science_explainers_36 | chunk 12 | prompt_tokens=4844, candidates_tokens=140, total_tokens=5321
2025-11-21T18:31:14.016141 | science_explainers_36 | chunk 13 | prompt_tokens=13330, candidates_tokens=96, total_tokens=13679
2025-11-21T18:31:51.508295 | science_explainers_92 | chunk 0 | prompt_tokens=11582, candidates_tokens=110, total_tokens=11928
2025-11-21T18:32:04.536075 | science_explainers_92 | chunk 1 | prompt_tokens=5739, candidates_tokens=141, total_tokens=6164
2025-11-21T18:32:21.837453 | science_explainers_92 | chunk 2 | prompt_tokens=4915, candidates_tokens=169, total_tokens=6401
2025-11-21T18:32:49.903685 | science_explainers_92 | chunk 3 | prompt_tokens=15311, candidates_tokens=130, total_tokens=15734
2025-11-21T18:33:23.087447 | science_explainers_92 | chunk 4 | prompt_tokens=7412, candidates_tokens=152, total_tokens=7764
2025-11-21T18:33:47.317225 | science_explainers_92 | chunk 5 | prompt_tokens=13971, candidates_tokens=294, total_tokens=14823
2025-11-21T18:34:00.219992 | science_explainers_92 | chunk 6 | prompt_tokens=5456, candidates_tokens=112, total_tokens=5873
2025-11-21T18:36:50.413399 | science_explainers_168 | chunk 0 | prompt_tokens=17084, candidates_tokens=209, total_tokens=18156
2025-11-21T18:37:20.664748 | science_explainers_168 | chunk 1 | prompt_tokens=24983, candidates_tokens=304, total_tokens=25977
2025-11-21T18:37:36.237594 | science_explainers_168 | chunk 2 | prompt_tokens=8852, candidates_tokens=361, total_tokens=9920
2025-11-21T18:38:18.272152 | science_explainers_168 | chunk 3 | prompt_tokens=30951, candidates_tokens=456, total_tokens=32960
2025-11-21T18:38:53.492553 | science_explainers_168 | chunk 4 | prompt_tokens=8378, candidates_tokens=354, total_tokens=9115
2025-11-21T18:39:24.656593 | science_explainers_168 | chunk 5 | prompt_tokens=15103, candidates_tokens=471, total_tokens=16777
2025-11-21T18:39:40.562582 | science_explainers_168 | chunk 6 | prompt_tokens=4324, candidates_tokens=377, total_tokens=5497
2025-11-21T18:39:59.129147 | science_explainers_168 | chunk 7 | prompt_tokens=8286, candidates_tokens=239, total_tokens=9016
2025-11-21T18:40:41.904317 | science_explainers_168 | chunk 8 | prompt_tokens=20172, candidates_tokens=441, total_tokens=21986
2025-11-21T18:40:59.655282 | science_explainers_168 | chunk 9 | prompt_tokens=5764, candidates_tokens=320, total_tokens=7067
2025-11-21T18:41:18.474371 | science_explainers_168 | chunk 10 | prompt_tokens=9701, candidates_tokens=270, total_tokens=10546
2025-11-21T18:41:29.511168 | science_explainers_194 | chunk 0 | prompt_tokens=3758, candidates_tokens=239, total_tokens=4412
2025-11-21T18:41:41.644920 | science_explainers_194 | chunk 1 | prompt_tokens=2268, candidates_tokens=218, total_tokens=3260
2025-11-21T18:41:52.807797 | science_explainers_194 | chunk 2 | prompt_tokens=4041, candidates_tokens=361, total_tokens=5019
2025-11-21T18:42:06.135563 | science_explainers_194 | chunk 3 | prompt_tokens=9135, candidates_tokens=304, total_tokens=9960
2025-11-21T18:42:17.929803 | science_explainers_194 | chunk 4 | prompt_tokens=7104, candidates_tokens=98, total_tokens=7440
2025-11-21T18:42:33.533969 | science_explainers_194 | chunk 5 | prompt_tokens=6871, candidates_tokens=437, total_tokens=8034
2025-11-21T18:43:01.230566 | science_explainers_194 | chunk 6 | prompt_tokens=10242, candidates_tokens=363, total_tokens=11399
2025-11-21T18:43:11.449455 | science_explainers_194 | chunk 7 | prompt_tokens=4249, candidates_tokens=177, total_tokens=4768
2025-11-21T18:43:22.804614 | science_explainers_194 | chunk 8 | prompt_tokens=4632, candidates_tokens=143, total_tokens=5207
2025-11-21T18:43:51.566642 | science_explainers_194 | chunk 9 | prompt_tokens=13681, candidates_tokens=494, total_tokens=14736
2025-11-21T18:44:14.545800 | science_explainers_194 | chunk 10 | prompt_tokens=13047, candidates_tokens=323, total_tokens=14064
2025-11-21T18:44:53.733300 | science_explainers_194 | chunk 11 | prompt_tokens=28687, candidates_tokens=361, total_tokens=30135
2025-11-21T18:45:15.892169 | science_explainers_194 | chunk 12 | prompt_tokens=29794, candidates_tokens=144, total_tokens=30097
2025-11-21T18:45:39.436559 | science_explainers_349 | chunk 0 | prompt_tokens=8902, candidates_tokens=377, total_tokens=10595
2025-11-21T18:46:13.544665 | science_explainers_349 | chunk 1 | prompt_tokens=20405, candidates_tokens=433, total_tokens=21110
2025-11-21T18:46:25.444800 | science_explainers_349 | chunk 2 | prompt_tokens=6538, candidates_tokens=269, total_tokens=7127
2025-11-21T18:46:46.737231 | science_explainers_349 | chunk 3 | prompt_tokens=11990, candidates_tokens=282, total_tokens=12938
2025-11-21T18:47:10.885525 | science_explainers_349 | chunk 4 | prompt_tokens=12248, candidates_tokens=344, total_tokens=13240
2025-11-21T18:47:29.081122 | science_explainers_349 | chunk 5 | prompt_tokens=12506, candidates_tokens=238, total_tokens=13221
2025-11-21T18:47:47.007580 | science_explainers_349 | chunk 6 | prompt_tokens=12531, candidates_tokens=407, total_tokens=13440
2025-11-21T18:48:02.120440 | science_explainers_349 | chunk 7 | prompt_tokens=7745, candidates_tokens=238, total_tokens=8420
2025-11-21T18:48:24.941214 | science_explainers_349 | chunk 8 | prompt_tokens=26949, candidates_tokens=511, total_tokens=28217
2025-11-21T18:48:37.752168 | science_explainers_349 | chunk 9 | prompt_tokens=3500, candidates_tokens=217, total_tokens=4113
2025-11-21T18:48:50.201400 | science_explainers_259 | chunk 0 | prompt_tokens=4556, candidates_tokens=133, total_tokens=5050
2025-11-21T18:49:15.292736 | science_explainers_259 | chunk 1 | prompt_tokens=18125, candidates_tokens=273, total_tokens=18980
2025-11-21T18:49:37.689255 | science_explainers_259 | chunk 2 | prompt_tokens=17575, candidates_tokens=266, total_tokens=18275
2025-11-21T18:50:10.449708 | science_explainers_259 | chunk 3 | prompt_tokens=40806, candidates_tokens=237, total_tokens=41475
2025-11-21T18:50:33.939954 | science_explainers_259 | chunk 4 | prompt_tokens=18499, candidates_tokens=181, total_tokens=18889
2025-11-21T18:51:01.200951 | science_explainers_259 | chunk 5 | prompt_tokens=24159, candidates_tokens=291, total_tokens=25125
2025-11-21T18:51:09.260828 | science_explainers_259 | chunk 6 | prompt_tokens=645, candidates_tokens=177, total_tokens=1278
2025-11-21T18:51:27.764368 | science_explainers_259 | chunk 7 | prompt_tokens=9393, candidates_tokens=296, total_tokens=10550
2025-11-21T18:51:39.696563 | science_explainers_259 | chunk 8 | prompt_tokens=7437, candidates_tokens=267, total_tokens=8137
2025-11-21T18:51:53.972534 | science_explainers_259 | chunk 9 | prompt_tokens=8802, candidates_tokens=211, total_tokens=9426
2025-11-21T18:52:16.282123 | science_explainers_55 | chunk 0 | prompt_tokens=6921, candidates_tokens=137, total_tokens=7356
2025-11-21T18:52:39.793438 | science_explainers_55 | chunk 1 | prompt_tokens=15902, candidates_tokens=109, total_tokens=16258
2025-11-21T18:53:35.341200 | science_explainers_55 | chunk 2 | prompt_tokens=24109, candidates_tokens=202, total_tokens=24570
2025-11-21T18:53:56.663137 | science_explainers_55 | chunk 3 | prompt_tokens=5144, candidates_tokens=177, total_tokens=5596
2025-11-21T18:54:43.935885 | science_explainers_55 | chunk 4 | prompt_tokens=26666, candidates_tokens=274, total_tokens=27719
2025-11-21T18:55:04.869207 | science_explainers_55 | chunk 5 | prompt_tokens=11990, candidates_tokens=146, total_tokens=12491
2025-11-21T18:55:55.758503 | science_explainers_55 | chunk 6 | prompt_tokens=27555, candidates_tokens=254, total_tokens=28790
2025-11-21T18:56:31.066015 | science_explainers_55 | chunk 7 | prompt_tokens=16443, candidates_tokens=251, total_tokens=17226
2025-11-21T18:57:07.979869 | science_explainers_55 | chunk 8 | prompt_tokens=22461, candidates_tokens=179, total_tokens=22964
2025-11-21T18:57:47.739555 | science_explainers_55 | chunk 9 | prompt_tokens=20738, candidates_tokens=205, total_tokens=21616
2025-11-21T18:58:25.767617 | science_explainers_127 | chunk 0 | prompt_tokens=13688, candidates_tokens=191, total_tokens=14313
2025-11-21T18:59:03.658701 | science_explainers_127 | chunk 1 | prompt_tokens=11582, candidates_tokens=519, total_tokens=13527
2025-11-21T18:59:38.459745 | science_explainers_127 | chunk 2 | prompt_tokens=20174, candidates_tokens=243, total_tokens=20752
2025-11-21T19:00:17.427986 | science_explainers_127 | chunk 3 | prompt_tokens=15852, candidates_tokens=586, total_tokens=17390
2025-11-21T19:01:04.410840 | science_explainers_127 | chunk 4 | prompt_tokens=24650, candidates_tokens=278, total_tokens=25550
2025-11-21T19:01:26.648128 | science_explainers_127 | chunk 5 | prompt_tokens=6796, candidates_tokens=323, total_tokens=7860
2025-11-21T19:01:52.602026 | science_explainers_127 | chunk 6 | prompt_tokens=13921, candidates_tokens=199, total_tokens=14499
2025-11-21T19:02:16.608404 | science_explainers_127 | chunk 7 | prompt_tokens=7362, candidates_tokens=268, total_tokens=8544
2025-11-21T19:02:34.767547 | science_explainers_127 | chunk 8 | prompt_tokens=4349, candidates_tokens=304, total_tokens=5611
2025-11-21T19:03:00.865768 | science_explainers_127 | chunk 9 | prompt_tokens=9558, candidates_tokens=339, total_tokens=10654
2025-11-21T19:03:12.657504 | science_explainers_127 | chunk 10 | prompt_tokens=4041, candidates_tokens=195, total_tokens=4745
2025-11-21T19:03:40.616565 | science_explainers_127 | chunk 11 | prompt_tokens=10431, candidates_tokens=442, total_tokens=11379
2025-11-21T19:04:07.226317 | science_explainers_325 | chunk 0 | prompt_tokens=19656, candidates_tokens=344, total_tokens=20544
2025-11-21T19:04:21.862725 | science_explainers_325 | chunk 1 | prompt_tokens=7776, candidates_tokens=247, total_tokens=8618
2025-11-21T19:04:41.759364 | science_explainers_325 | chunk 2 | prompt_tokens=16701, candidates_tokens=283, total_tokens=17637
2025-11-21T19:05:07.665167 | science_explainers_325 | chunk 3 | prompt_tokens=13097, candidates_tokens=382, total_tokens=14895
2025-11-21T19:05:21.162882 | science_explainers_325 | chunk 4 | prompt_tokens=4557, candidates_tokens=315, total_tokens=5260
2025-11-21T19:05:45.792636 | science_explainers_325 | chunk 5 | prompt_tokens=16160, candidates_tokens=356, total_tokens=17434
2025-11-21T19:06:07.744471 | science_explainers_325 | chunk 6 | prompt_tokens=10525, candidates_tokens=194, total_tokens=11141
2025-11-21T19:06:22.270380 | science_explainers_325 | chunk 7 | prompt_tokens=9959, candidates_tokens=217, total_tokens=10513
