2025-11-21T18:24:01.325236 | political_interviews_271 | chunk 0 | prompt_tokens=17808, candidates_tokens=271, total_tokens=18939
2025-11-21T18:33:10.264381 | political_interviews_261 | chunk 0 | prompt_tokens=1677, candidates_tokens=126, total_tokens=2129
2025-11-21T18:33:30.491105 | political_interviews_261 | chunk 1 | prompt_tokens=8494, candidates_tokens=313, total_tokens=9649
2025-11-21T18:34:09.257047 | political_interviews_261 | chunk 2 | prompt_tokens=24159, candidates_tokens=420, total_tokens=26180
2025-11-21T18:34:45.290986 | political_interviews_261 | chunk 3 | prompt_tokens=10745, candidates_tokens=232, total_tokens=11337
2025-11-21T18:35:24.818348 | political_interviews_261 | chunk 4 | prompt_tokens=16934, candidates_tokens=295, total_tokens=17720
2025-11-21T18:36:04.267221 | political_interviews_261 | chunk 5 | prompt_tokens=11015, candidates_tokens=353, total_tokens=12172
2025-11-21T18:36:19.127858 | political_interviews_261 | chunk 6 | prompt_tokens=5739, candidates_tokens=251, total_tokens=6626
2025-11-21T18:36:46.651903 | political_interviews_261 | chunk 7 | prompt_tokens=10600, candidates_tokens=273, total_tokens=11440
2025-11-21T18:37:01.293195 | political_interviews_261 | chunk 8 | prompt_tokens=9085, candidates_tokens=221, total_tokens=10064
2025-11-21T18:37:13.091901 | political_interviews_261 | chunk 9 | prompt_tokens=6538, candidates_tokens=213, total_tokens=7092
2025-11-21T18:37:29.254754 | political_interviews_261 | chunk 10 | prompt_tokens=12789, candidates_tokens=241, total_tokens=13548
2025-11-21T18:37:41.694757 | political_interviews_460 | chunk 0 | prompt_tokens=5073, candidates_tokens=161, total_tokens=5417
2025-11-21T18:38:01.550909 | political_interviews_460 | chunk 1 | prompt_tokens=5406, candidates_tokens=264, total_tokens=6335
2025-11-21T18:38:18.659923 | political_interviews_460 | chunk 2 | prompt_tokens=5456, candidates_tokens=189, total_tokens=5990
2025-11-21T18:38:52.639927 | political_interviews_460 | chunk 3 | prompt_tokens=14512, candidates_tokens=164, total_tokens=14969
2025-11-21T18:39:10.069460 | political_interviews_460 | chunk 4 | prompt_tokens=8286, candidates_tokens=202, total_tokens=8772
2025-11-21T18:39:30.007961 | political_interviews_460 | chunk 5 | prompt_tokens=5429, candidates_tokens=160, total_tokens=6199
2025-11-21T18:39:46.094572 | political_interviews_460 | chunk 6 | prompt_tokens=6588, candidates_tokens=105, total_tokens=6857
2025-11-21T18:40:04.091228 | political_interviews_460 | chunk 7 | prompt_tokens=8236, candidates_tokens=150, total_tokens=8620
2025-11-21T18:41:00.940238 | political_interviews_460 | chunk 8 | prompt_tokens=24650, candidates_tokens=261, total_tokens=25703
2025-11-21T18:41:20.628755 | political_interviews_460 | chunk 9 | prompt_tokens=12764, candidates_tokens=184, total_tokens=13237
2025-11-21T18:41:50.580249 | political_interviews_460 | chunk 10 | prompt_tokens=16468, candidates_tokens=139, total_tokens=16862
2025-11-21T18:42:13.433391 | political_interviews_460 | chunk 11 | prompt_tokens=12556, candidates_tokens=185, total_tokens=12986
2025-11-21T18:42:26.901933 | political_interviews_413 | chunk 0 | prompt_tokens=8186, candidates_tokens=408, total_tokens=9366
2025-11-21T18:43:04.725345 | political_interviews_413 | chunk 1 | prompt_tokens=23518, candidates_tokens=578, total_tokens=25030
2025-11-21T18:43:22.385231 | political_interviews_413 | chunk 2 | prompt_tokens=14204, candidates_tokens=131, total_tokens=14512
2025-11-21T18:43:36.111973 | political_interviews_413 | chunk 3 | prompt_tokens=8544, candidates_tokens=144, total_tokens=8981
2025-11-21T18:44:05.240631 | political_interviews_413 | chunk 4 | prompt_tokens=23285, candidates_tokens=533, total_tokens=24758
2025-11-21T18:44:39.777227 | political_interviews_413 | chunk 5 | prompt_tokens=26386, candidates_tokens=268, total_tokens=27575
2025-11-21T18:45:06.096110 | political_interviews_413 | chunk 6 | prompt_tokens=11041, candidates_tokens=327, total_tokens=12197
2025-11-21T18:45:17.356285 | political_interviews_413 | chunk 7 | prompt_tokens=4274, candidates_tokens=216, total_tokens=4927
2025-11-21T18:45:34.671265 | political_interviews_413 | chunk 8 | prompt_tokens=9701, candidates_tokens=319, total_tokens=10556
2025-11-21T18:45:55.965917 | political_interviews_413 | chunk 9 | prompt_tokens=16160, candidates_tokens=146, total_tokens=16577
2025-11-21T18:46:27.283056 | political_interviews_413 | chunk 10 | prompt_tokens=15927, candidates_tokens=400, total_tokens=17103
2025-11-21T18:46:52.016596 | political_interviews_413 | chunk 11 | prompt_tokens=14487, candidates_tokens=66, total_tokens=14687
2025-11-21T18:47:28.355403 | political_interviews_252 | chunk 0 | prompt_tokens=23618, candidates_tokens=128, total_tokens=24095
2025-11-21T18:47:46.663822 | political_interviews_252 | chunk 1 | prompt_tokens=11374, candidates_tokens=185, total_tokens=11968
2025-11-21T18:48:01.725348 | political_interviews_252 | chunk 2 | prompt_tokens=5711, candidates_tokens=119, total_tokens=6146
2025-11-21T18:48:18.407460 | political_interviews_252 | chunk 3 | prompt_tokens=10217, candidates_tokens=145, total_tokens=10639
2025-11-21T18:48:41.018111 | political_interviews_252 | chunk 4 | prompt_tokens=8852, candidates_tokens=195, total_tokens=9369
2025-11-21T18:49:04.476174 | political_interviews_252 | chunk 5 | prompt_tokens=8679, candidates_tokens=218, total_tokens=9326
2025-11-21T18:49:22.304249 | political_interviews_252 | chunk 6 | prompt_tokens=8311, candidates_tokens=171, total_tokens=8774
2025-11-21T18:49:50.056154 | political_interviews_252 | chunk 7 | prompt_tokens=11990, candidates_tokens=217, total_tokens=12769
2025-11-21T18:50:12.801533 | political_interviews_252 | chunk 8 | prompt_tokens=14437, candidates_tokens=203, total_tokens=15225
2025-11-21T18:50:26.339235 | political_interviews_252 | chunk 9 | prompt_tokens=4066, candidates_tokens=145, total_tokens=4528
2025-11-21T18:50:41.283728 | political_interviews_252 | chunk 10 | prompt_tokens=7720, candidates_tokens=140, total_tokens=8140
2025-11-21T18:51:06.954684 | political_interviews_252 | chunk 11 | prompt_tokens=14537, candidates_tokens=222, total_tokens=15508
2025-11-21T18:51:42.132905 | political_interviews_252 | chunk 12 | prompt_tokens=22669, candidates_tokens=344, total_tokens=23704
2025-11-21T18:52:06.497761 | political_interviews_437 | chunk 0 | prompt_tokens=10192, candidates_tokens=123, total_tokens=10531
2025-11-21T18:52:18.121236 | political_interviews_437 | chunk 1 | prompt_tokens=3217, candidates_tokens=134, total_tokens=3597
2025-11-21T18:52:40.334172 | political_interviews_437 | chunk 2 | prompt_tokens=5664, candidates_tokens=128, total_tokens=6213
2025-11-21T18:53:03.605160 | political_interviews_437 | chunk 3 | prompt_tokens=8384, candidates_tokens=151, total_tokens=8870
2025-11-21T18:53:26.437376 | political_interviews_437 | chunk 4 | prompt_tokens=8028, candidates_tokens=130, total_tokens=8467
2025-11-21T18:53:51.685820 | political_interviews_437 | chunk 5 | prompt_tokens=16443, candidates_tokens=131, total_tokens=16751
2025-11-21T18:54:21.046486 | political_interviews_437 | chunk 6 | prompt_tokens=9855, candidates_tokens=142, total_tokens=10044
2025-11-21T18:54:46.627280 | political_interviews_437 | chunk 7 | prompt_tokens=7054, candidates_tokens=161, total_tokens=7440
2025-11-21T18:55:06.071679 | political_interviews_437 | chunk 8 | prompt_tokens=7720, candidates_tokens=205, total_tokens=8440
2025-11-21T18:55:25.947939 | political_interviews_437 | chunk 9 | prompt_tokens=7179, candidates_tokens=146, total_tokens=7585
2025-11-21T18:55:38.525775 | political_interviews_437 | chunk 10 | prompt_tokens=4041, candidates_tokens=128, total_tokens=4509
2025-11-21T18:55:58.427805 | political_interviews_437 | chunk 11 | prompt_tokens=9676, candidates_tokens=130, total_tokens=10044
2025-11-21T18:56:25.242616 | political_interviews_437 | chunk 12 | prompt_tokens=11632, candidates_tokens=148, total_tokens=12048
2025-11-21T18:56:50.462578 | political_interviews_437 | chunk 13 | prompt_tokens=9418, candidates_tokens=152, total_tokens=9916
2025-11-21T18:57:07.584174 | political_interviews_522 | chunk 0 | prompt_tokens=3375, candidates_tokens=334, total_tokens=4388
2025-11-21T18:57:43.498959 | political_interviews_522 | chunk 1 | prompt_tokens=11374, candidates_tokens=331, total_tokens=13483
2025-11-21T18:58:14.720232 | political_interviews_522 | chunk 2 | prompt_tokens=14229, candidates_tokens=330, total_tokens=15270
2025-11-21T18:58:49.568763 | political_interviews_522 | chunk 3 | prompt_tokens=20197, candidates_tokens=175, total_tokens=20738
2025-11-21T18:59:23.421460 | political_interviews_522 | chunk 5 | prompt_tokens=3758, candidates_tokens=128, total_tokens=4338
2025-11-21T18:59:43.507177 | political_interviews_522 | chunk 6 | prompt_tokens=9110, candidates_tokens=207, total_tokens=9900
2025-11-21T18:59:55.307754 | political_interviews_522 | chunk 7 | prompt_tokens=4557, candidates_tokens=133, total_tokens=4867
2025-11-21T19:00:11.107279 | political_interviews_522 | chunk 8 | prompt_tokens=6897, candidates_tokens=244, total_tokens=7960
2025-11-21T19:00:30.899751 | political_interviews_522 | chunk 9 | prompt_tokens=8261, candidates_tokens=241, total_tokens=8586
2025-11-21T19:01:12.571068 | political_interviews_522 | chunk 10 | prompt_tokens=15078, candidates_tokens=158, total_tokens=15601
2025-11-21T19:02:00.673889 | political_interviews_522 | chunk 11 | prompt_tokens=19581, candidates_tokens=196, total_tokens=20787
2025-11-21T19:02:27.221257 | political_interviews_522 | chunk 12 | prompt_tokens=11116, candidates_tokens=188, total_tokens=11924
2025-11-21T19:02:41.430040 | political_interviews_522 | chunk 13 | prompt_tokens=3475, candidates_tokens=271, total_tokens=4583
2025-11-21T19:03:19.631050 | political_interviews_158 | chunk 0 | prompt_tokens=11324, candidates_tokens=551, total_tokens=14149
2025-11-21T19:03:36.160241 | political_interviews_158 | chunk 1 | prompt_tokens=6047, candidates_tokens=171, total_tokens=6636
2025-11-21T19:03:47.270180 | political_interviews_158 | chunk 2 | prompt_tokens=1702, candidates_tokens=180, total_tokens=2309
2025-11-21T19:04:00.876100 | political_interviews_158 | chunk 3 | prompt_tokens=2293, candidates_tokens=244, total_tokens=3423
2025-11-21T19:04:21.515817 | political_interviews_158 | chunk 4 | prompt_tokens=9443, candidates_tokens=224, total_tokens=9952
2025-11-21T19:04:42.352465 | political_interviews_158 | chunk 5 | prompt_tokens=13613, candidates_tokens=246, total_tokens=14481
2025-11-21T19:05:05.395887 | political_interviews_158 | chunk 6 | prompt_tokens=13047, candidates_tokens=244, total_tokens=14159
2025-11-21T19:05:29.180619 | political_interviews_158 | chunk 7 | prompt_tokens=10883, candidates_tokens=286, total_tokens=12282
2025-11-21T19:05:49.383288 | political_interviews_158 | chunk 8 | prompt_tokens=9393, candidates_tokens=251, total_tokens=10285
2025-11-21T19:06:05.609597 | political_interviews_158 | chunk 9 | prompt_tokens=6280, candidates_tokens=233, total_tokens=6952
2025-11-21T19:06:26.466394 | political_interviews_158 | chunk 10 | prompt_tokens=9934, candidates_tokens=246, total_tokens=11093
2025-11-21T19:06:56.579138 | political_interviews_158 | chunk 11 | prompt_tokens=13946, candidates_tokens=343, total_tokens=15757
2025-11-21T19:07:16.342189 | political_interviews_158 | chunk 12 | prompt_tokens=8336, candidates_tokens=228, total_tokens=9364
2025-11-21T19:07:41.136342 | political_interviews_158 | chunk 13 | prompt_tokens=11915, candidates_tokens=214, total_tokens=12881
2025-11-21T19:08:24.113871 | political_interviews_158 | chunk 14 | prompt_tokens=20763, candidates_tokens=522, total_tokens=22682
2025-11-21T19:09:03.483925 | political_interviews_49 | chunk 0 | prompt_tokens=23702, candidates_tokens=278, total_tokens=24449
2025-11-21T19:09:28.519385 | political_interviews_49 | chunk 1 | prompt_tokens=12491, candidates_tokens=238, total_tokens=13316
2025-11-21T19:09:46.804344 | political_interviews_49 | chunk 2 | prompt_tokens=10242, candidates_tokens=169, total_tokens=10911
2025-11-21T19:10:09.676132 | political_interviews_49 | chunk 3 | prompt_tokens=7695, candidates_tokens=203, total_tokens=8271
2025-11-21T19:10:25.702592 | political_interviews_49 | chunk 4 | prompt_tokens=7745, candidates_tokens=202, total_tokens=8131
2025-11-21T19:10:42.433222 | political_interviews_49 | chunk 5 | prompt_tokens=6205, candidates_tokens=170, total_tokens=6943
2025-11-21T19:11:00.526499 | political_interviews_49 | chunk 6 | prompt_tokens=5381, candidates_tokens=152, total_tokens=5901
2025-11-21T19:11:20.903836 | political_interviews_49 | chunk 7 | prompt_tokens=7720, candidates_tokens=256, total_tokens=8506
2025-11-21T19:11:35.130848 | political_interviews_49 | chunk 8 | prompt_tokens=3658, candidates_tokens=170, total_tokens=4188
2025-11-21T19:11:55.877924 | political_interviews_49 | chunk 9 | prompt_tokens=7953, candidates_tokens=255, total_tokens=8539
2025-11-21T19:12:22.482454 | political_interviews_49 | chunk 10 | prompt_tokens=11041, candidates_tokens=177, total_tokens=11560
2025-11-21T19:12:41.435050 | political_interviews_49 | chunk 11 | prompt_tokens=6796, candidates_tokens=210, total_tokens=7767
2025-11-21T19:12:51.068954 | political_interviews_49 | chunk 12 | prompt_tokens=3733, candidates_tokens=195, total_tokens=4261
2025-11-21T19:13:15.436829 | political_interviews_49 | chunk 13 | prompt_tokens=6891, candidates_tokens=129, total_tokens=7330
2025-11-21T19:13:49.244575 | political_interviews_49 | chunk 14 | prompt_tokens=13072, candidates_tokens=199, total_tokens=13897
2025-11-21T19:14:08.744845 | political_interviews_49 | chunk 15 | prompt_tokens=3951, candidates_tokens=146, total_tokens=4481
2025-11-21T19:14:40.484947 | political_interviews_49 | chunk 16 | prompt_tokens=14855, candidates_tokens=420, total_tokens=16044
2025-11-21T19:14:54.083894 | political_interviews_515 | chunk 0 | prompt_tokens=5764, candidates_tokens=197, total_tokens=6278
2025-11-21T19:15:17.041321 | political_interviews_515 | chunk 1 | prompt_tokens=8594, candidates_tokens=248, total_tokens=9505
2025-11-21T19:15:38.089591 | political_interviews_515 | chunk 2 | prompt_tokens=11965, candidates_tokens=243, total_tokens=12530
2025-11-21T19:15:52.774268 | political_interviews_515 | chunk 3 | prompt_tokens=7179, candidates_tokens=79, total_tokens=7449
2025-11-21T19:16:07.373229 | political_interviews_515 | chunk 4 | prompt_tokens=6047, candidates_tokens=163, total_tokens=6458
2025-11-21T19:16:17.638464 | political_interviews_515 | chunk 5 | prompt_tokens=1186, candidates_tokens=110, total_tokens=1534
2025-11-21T19:16:41.532303 | political_interviews_515 | chunk 6 | prompt_tokens=15927, candidates_tokens=112, total_tokens=16239
2025-11-21T19:16:53.600414 | political_interviews_515 | chunk 7 | prompt_tokens=1752, candidates_tokens=160, total_tokens=2516
2025-11-21T19:17:14.977531 | political_interviews_515 | chunk 8 | prompt_tokens=11299, candidates_tokens=213, total_tokens=12248
2025-11-21T19:17:38.524400 | political_interviews_515 | chunk 9 | prompt_tokens=9676, candidates_tokens=273, total_tokens=10627
2025-11-21T19:17:53.191673 | political_interviews_515 | chunk 10 | prompt_tokens=8544, candidates_tokens=86, total_tokens=8814
2025-11-21T19:18:13.944004 | political_interviews_515 | chunk 11 | prompt_tokens=12531, candidates_tokens=102, total_tokens=12888
2025-11-21T19:18:42.395174 | political_interviews_515 | chunk 12 | prompt_tokens=11607, candidates_tokens=116, total_tokens=12029
2025-11-21T19:18:50.014465 | political_interviews_515 | chunk 13 | prompt_tokens=928, candidates_tokens=100, total_tokens=1295
2025-11-21T19:19:19.275861 | political_interviews_283 | chunk 0 | prompt_tokens=7079, candidates_tokens=313, total_tokens=8166
2025-11-21T19:20:20.293955 | political_interviews_283 | chunk 1 | prompt_tokens=23876, candidates_tokens=399, total_tokens=25080
2025-11-21T19:21:05.111583 | political_interviews_283 | chunk 2 | prompt_tokens=19323, candidates_tokens=209, total_tokens=19980
2025-11-21T19:21:49.289605 | political_interviews_283 | chunk 3 | prompt_tokens=20172, candidates_tokens=239, total_tokens=20760
2025-11-21T19:22:26.616876 | political_interviews_283 | chunk 4 | prompt_tokens=13047, candidates_tokens=283, total_tokens=14210
2025-11-21T19:22:51.337130 | political_interviews_283 | chunk 5 | prompt_tokens=6588, candidates_tokens=241, total_tokens=7248
2025-11-21T19:23:34.362767 | political_interviews_283 | chunk 6 | prompt_tokens=14875, candidates_tokens=291, total_tokens=15876
2025-11-21T19:24:14.455687 | political_interviews_283 | chunk 7 | prompt_tokens=10833, candidates_tokens=213, total_tokens=11559
2025-11-21T19:24:33.727614 | political_interviews_283 | chunk 8 | prompt_tokens=4248, candidates_tokens=227, total_tokens=4868
2025-11-21T19:24:57.802842 | political_interviews_283 | chunk 9 | prompt_tokens=7978, candidates_tokens=210, total_tokens=8575
2025-11-21T19:25:56.453944 | political_interviews_283 | chunk 10 | prompt_tokens=17550, candidates_tokens=360, total_tokens=18630
2025-11-21T19:26:19.024873 | political_interviews_283 | chunk 11 | prompt_tokens=5148, candidates_tokens=257, total_tokens=6181
2025-11-21T19:26:53.852910 | political_interviews_283 | chunk 12 | prompt_tokens=8519, candidates_tokens=277, total_tokens=9359
2025-11-21T19:27:25.968449 | political_interviews_283 | chunk 13 | prompt_tokens=10550, candidates_tokens=194, total_tokens=11060
2025-11-21T19:27:56.454092 | political_interviews_282 | chunk 0 | prompt_tokens=10733, candidates_tokens=254, total_tokens=11514
2025-11-21T19:28:15.310380 | political_interviews_282 | chunk 1 | prompt_tokens=5381, candidates_tokens=222, total_tokens=6402
2025-11-21T19:28:45.443535 | political_interviews_282 | chunk 2 | prompt_tokens=13330, candidates_tokens=211, total_tokens=13863
2025-11-21T19:29:09.901278 | political_interviews_282 | chunk 3 | prompt_tokens=11625, candidates_tokens=177, total_tokens=12086
2025-11-21T19:29:30.057665 | political_interviews_282 | chunk 4 | prompt_tokens=6316, candidates_tokens=236, total_tokens=7148
2025-11-21T19:29:55.648163 | political_interviews_282 | chunk 5 | prompt_tokens=11311, candidates_tokens=257, total_tokens=11855
2025-11-21T19:30:15.893206 | political_interviews_282 | chunk 6 | prompt_tokens=10550, candidates_tokens=160, total_tokens=11119
2025-11-21T19:30:44.719128 | political_interviews_282 | chunk 7 | prompt_tokens=17084, candidates_tokens=229, total_tokens=17791
2025-11-21T19:31:06.748705 | political_interviews_282 | chunk 8 | prompt_tokens=10758, candidates_tokens=235, total_tokens=11709
2025-11-21T19:31:45.688768 | political_interviews_282 | chunk 9 | prompt_tokens=17550, candidates_tokens=250, total_tokens=18201
2025-11-21T19:32:12.737975 | political_interviews_282 | chunk 10 | prompt_tokens=7720, candidates_tokens=267, total_tokens=8953
2025-11-21T19:32:32.186138 | political_interviews_282 | chunk 11 | prompt_tokens=6771, candidates_tokens=242, total_tokens=7587
2025-11-21T19:32:55.404940 | political_interviews_282 | chunk 12 | prompt_tokens=10500, candidates_tokens=223, total_tokens=11054
2025-11-21T19:33:28.131848 | political_interviews_282 | chunk 13 | prompt_tokens=13091, candidates_tokens=526, total_tokens=14382
2025-11-21T19:34:03.484851 | political_interviews_361 | chunk 0 | prompt_tokens=16926, candidates_tokens=228, total_tokens=17457
2025-11-21T19:34:38.100295 | political_interviews_361 | chunk 1 | prompt_tokens=21820, candidates_tokens=131, total_tokens=22141
2025-11-21T19:35:07.370469 | political_interviews_361 | chunk 2 | prompt_tokens=15952, candidates_tokens=224, total_tokens=16956
2025-11-21T19:35:26.670189 | political_interviews_361 | chunk 3 | prompt_tokens=10575, candidates_tokens=169, total_tokens=11063
2025-11-21T19:35:38.813969 | political_interviews_361 | chunk 4 | prompt_tokens=5406, candidates_tokens=93, total_tokens=5686
2025-11-21T19:35:57.165942 | political_interviews_361 | chunk 5 | prompt_tokens=8286, candidates_tokens=104, total_tokens=8758
2025-11-21T19:36:11.133555 | political_interviews_361 | chunk 6 | prompt_tokens=6280, candidates_tokens=170, total_tokens=6657
2025-11-21T19:36:33.742325 | political_interviews_361 | chunk 7 | prompt_tokens=11324, candidates_tokens=123, total_tokens=11683
2025-11-21T19:36:54.653964 | political_interviews_361 | chunk 8 | prompt_tokens=10575, candidates_tokens=87, total_tokens=10828
2025-11-21T19:37:19.298553 | political_interviews_361 | chunk 9 | prompt_tokens=14154, candidates_tokens=283, total_tokens=14907
2025-11-21T19:37:39.399152 | political_interviews_60 | chunk 0 | prompt_tokens=7770, candidates_tokens=247, total_tokens=8529
2025-11-21T19:37:55.769948 | political_interviews_60 | chunk 1 | prompt_tokens=2185, candidates_tokens=146, total_tokens=2615
2025-11-21T19:38:32.034247 | political_interviews_60 | chunk 2 | prompt_tokens=11374, candidates_tokens=245, total_tokens=12472
2025-11-21T19:39:11.282636 | political_interviews_60 | chunk 3 | prompt_tokens=17242, candidates_tokens=299, total_tokens=18031
2025-11-21T19:39:44.787474 | political_interviews_60 | chunk 5 | prompt_tokens=13147, candidates_tokens=256, total_tokens=13852
2025-11-21T19:40:29.127952 | political_interviews_26 | chunk 0 | prompt_tokens=4507, candidates_tokens=206, total_tokens=5282
2025-11-21T19:40:41.745082 | political_interviews_60 | chunk 6 | prompt_tokens=16110, candidates_tokens=303, total_tokens=17243
2025-11-21T19:40:47.984430 | political_interviews_26 | chunk 1 | prompt_tokens=4507, candidates_tokens=170, total_tokens=5298
2025-11-21T19:41:23.993575 | political_interviews_60 | chunk 7 | prompt_tokens=17242, candidates_tokens=258, total_tokens=18127
2025-11-21T19:41:38.780540 | political_interviews_26 | chunk 2 | prompt_tokens=9160, candidates_tokens=237, total_tokens=9925
2025-11-21T19:42:07.597788 | political_interviews_60 | chunk 8 | prompt_tokens=20172, candidates_tokens=230, total_tokens=20865
2025-11-21T19:42:16.537021 | political_interviews_26 | chunk 3 | prompt_tokens=8311, candidates_tokens=219, total_tokens=9469
2025-11-21T19:42:34.857867 | political_interviews_60 | chunk 9 | prompt_tokens=7720, candidates_tokens=265, total_tokens=8724
2025-11-21T19:42:48.218243 | political_interviews_26 | chunk 4 | prompt_tokens=4299, candidates_tokens=181, total_tokens=4892
2025-11-21T19:43:19.582159 | political_interviews_60 | chunk 10 | prompt_tokens=13968, candidates_tokens=308, total_tokens=14919
2025-11-21T19:43:37.039430 | political_interviews_60 | chunk 11 | prompt_tokens=3991, candidates_tokens=175, total_tokens=4672
2025-11-21T19:43:40.148986 | political_interviews_26 | chunk 5 | prompt_tokens=12839, candidates_tokens=224, total_tokens=13832
2025-11-21T19:44:16.551057 | political_interviews_60 | chunk 12 | prompt_tokens=13378, candidates_tokens=186, total_tokens=13894
2025-11-21T19:44:25.798513 | political_interviews_26 | chunk 6 | prompt_tokens=10783, candidates_tokens=271, total_tokens=12406
2025-11-21T19:44:52.992939 | political_interviews_26 | chunk 7 | prompt_tokens=4233, candidates_tokens=162, total_tokens=4873
2025-11-21T19:45:06.238289 | political_interviews_60 | chunk 13 | prompt_tokens=13563, candidates_tokens=271, total_tokens=14361
2025-11-21T19:45:12.891147 | political_interviews_26 | chunk 8 | prompt_tokens=2601, candidates_tokens=229, total_tokens=3672
2025-11-21T19:46:10.371757 | political_interviews_314 | chunk 0 | prompt_tokens=14129, candidates_tokens=372, total_tokens=15115
2025-11-21T19:46:40.606671 | political_interviews_26 | chunk 9 | prompt_tokens=21021, candidates_tokens=180, total_tokens=21414
2025-11-21T19:47:05.855130 | political_interviews_314 | chunk 1 | prompt_tokens=17575, candidates_tokens=195, total_tokens=18191
2025-11-21T19:47:29.849705 | political_interviews_26 | chunk 10 | prompt_tokens=13663, candidates_tokens=192, total_tokens=14340
2025-11-21T19:47:55.084034 | political_interviews_314 | chunk 2 | prompt_tokens=14487, candidates_tokens=201, total_tokens=15374
2025-11-21T19:47:56.643354 | political_interviews_26 | chunk 11 | prompt_tokens=7054, candidates_tokens=152, total_tokens=7697
2025-11-21T19:48:35.992760 | political_interviews_26 | chunk 12 | prompt_tokens=7978, candidates_tokens=173, total_tokens=8716
2025-11-21T19:48:53.706802 | political_interviews_26 | chunk 13 | prompt_tokens=1702, candidates_tokens=206, total_tokens=2595
