2025-11-21T00:25:38.683376 | sports_talk_shows_133 | chunk 0 | prompt_tokens=1132, candidates_tokens=106, total_tokens=1238
2025-11-21T00:31:35.965638 | sports_talk_shows_207 | chunk 5 | prompt_tokens=1857, candidates_tokens=139, total_tokens=1996
2025-11-21T00:31:45.576981 | sports_talk_shows_207 | chunk 6 | prompt_tokens=2032, candidates_tokens=147, total_tokens=2179
2025-11-21T00:31:51.717064 | sports_talk_shows_207 | chunk 7 | prompt_tokens=1707, candidates_tokens=135, total_tokens=1842
2025-11-21T00:31:57.367171 | sports_talk_shows_207 | chunk 8 | prompt_tokens=807, candidates_tokens=72, total_tokens=879
2025-11-21T00:32:04.046567 | sports_talk_shows_207 | chunk 9 | prompt_tokens=1057, candidates_tokens=126, total_tokens=1183
2025-11-21T00:32:10.089275 | sports_talk_shows_207 | chunk 10 | prompt_tokens=1207, candidates_tokens=41, total_tokens=1248
2025-11-21T00:32:17.920847 | sports_talk_shows_207 | chunk 11 | prompt_tokens=657, candidates_tokens=63, total_tokens=720
2025-11-21T00:32:27.547963 | sports_talk_shows_365 | chunk 0 | prompt_tokens=2282, candidates_tokens=217, total_tokens=2499
2025-11-21T00:32:31.023134 | sports_talk_shows_365 | chunk 1 | prompt_tokens=582, candidates_tokens=73, total_tokens=655
2025-11-21T00:32:35.150594 | sports_talk_shows_365 | chunk 2 | prompt_tokens=757, candidates_tokens=136, total_tokens=893
2025-11-21T00:32:39.355800 | sports_talk_shows_365 | chunk 3 | prompt_tokens=682, candidates_tokens=106, total_tokens=788
2025-11-21T00:32:42.738437 | sports_talk_shows_365 | chunk 4 | prompt_tokens=332, candidates_tokens=47, total_tokens=379
2025-11-21T00:32:46.027459 | sports_talk_shows_365 | chunk 5 | prompt_tokens=307, candidates_tokens=82, total_tokens=389
2025-11-21T00:32:54.920430 | sports_talk_shows_365 | chunk 6 | prompt_tokens=1807, candidates_tokens=145, total_tokens=1952
2025-11-21T00:32:58.252100 | sports_talk_shows_365 | chunk 7 | prompt_tokens=507, candidates_tokens=84, total_tokens=591
2025-11-21T00:33:03.423914 | sports_talk_shows_365 | chunk 8 | prompt_tokens=607, candidates_tokens=86, total_tokens=693
2025-11-21T00:33:06.768963 | sports_talk_shows_365 | chunk 9 | prompt_tokens=657, candidates_tokens=91, total_tokens=748
2025-11-21T00:33:17.716563 | sports_talk_shows_365 | chunk 10 | prompt_tokens=2357, candidates_tokens=152, total_tokens=2509
2025-11-21T00:33:27.532694 | sports_talk_shows_365 | chunk 11 | prompt_tokens=1757, candidates_tokens=150, total_tokens=1907
2025-11-21T00:33:38.410560 | sports_talk_shows_365 | chunk 12 | prompt_tokens=1832, candidates_tokens=150, total_tokens=1982
2025-11-21T00:33:42.473173 | sports_talk_shows_365 | chunk 13 | prompt_tokens=682, candidates_tokens=105, total_tokens=787
2025-11-21T00:33:48.241103 | sports_talk_shows_365 | chunk 14 | prompt_tokens=782, candidates_tokens=108, total_tokens=890
2025-11-21T00:34:04.584132 | sports_talk_shows_365 | chunk 15 | prompt_tokens=2157, candidates_tokens=183, total_tokens=2340
2025-11-21T00:34:08.351450 | sports_talk_shows_178 | chunk 0 | prompt_tokens=857, candidates_tokens=76, total_tokens=933
2025-11-21T00:34:10.789377 | sports_talk_shows_178 | chunk 1 | prompt_tokens=607, candidates_tokens=52, total_tokens=659
2025-11-21T00:34:20.244982 | sports_talk_shows_178 | chunk 2 | prompt_tokens=2232, candidates_tokens=129, total_tokens=2361
2025-11-21T00:34:25.328597 | sports_talk_shows_178 | chunk 3 | prompt_tokens=1382, candidates_tokens=77, total_tokens=1459
2025-11-21T00:34:32.068958 | sports_talk_shows_178 | chunk 4 | prompt_tokens=1507, candidates_tokens=53, total_tokens=1560
2025-11-21T00:34:39.528955 | sports_talk_shows_178 | chunk 5 | prompt_tokens=1682, candidates_tokens=82, total_tokens=1764
2025-11-21T00:34:44.011250 | sports_talk_shows_178 | chunk 6 | prompt_tokens=607, candidates_tokens=82, total_tokens=689
2025-11-21T00:34:47.120244 | sports_talk_shows_178 | chunk 7 | prompt_tokens=532, candidates_tokens=59, total_tokens=591
2025-11-21T00:34:52.699935 | sports_talk_shows_178 | chunk 8 | prompt_tokens=932, candidates_tokens=86, total_tokens=1018
2025-11-21T00:34:57.956577 | sports_talk_shows_178 | chunk 9 | prompt_tokens=782, candidates_tokens=88, total_tokens=870
2025-11-21T00:35:01.766533 | sports_talk_shows_178 | chunk 10 | prompt_tokens=657, candidates_tokens=75, total_tokens=732
2025-11-21T00:35:08.594083 | sports_talk_shows_178 | chunk 11 | prompt_tokens=682, candidates_tokens=76, total_tokens=758
2025-11-21T00:35:14.698934 | sports_talk_shows_178 | chunk 12 | prompt_tokens=1382, candidates_tokens=72, total_tokens=1454
2025-11-21T00:35:22.150960 | sports_talk_shows_178 | chunk 13 | prompt_tokens=1107, candidates_tokens=97, total_tokens=1204
2025-11-21T00:35:28.269444 | sports_talk_shows_178 | chunk 14 | prompt_tokens=1182, candidates_tokens=85, total_tokens=1267
2025-11-21T00:35:35.084885 | sports_talk_shows_356 | chunk 0 | prompt_tokens=757, candidates_tokens=106, total_tokens=863
2025-11-21T00:35:39.796395 | sports_talk_shows_356 | chunk 1 | prompt_tokens=1182, candidates_tokens=127, total_tokens=1309
2025-11-21T00:35:45.342230 | sports_talk_shows_356 | chunk 2 | prompt_tokens=882, candidates_tokens=105, total_tokens=987
2025-11-21T00:35:50.785617 | sports_talk_shows_356 | chunk 3 | prompt_tokens=1382, candidates_tokens=125, total_tokens=1507
2025-11-21T00:35:53.864761 | sports_talk_shows_356 | chunk 4 | prompt_tokens=232, candidates_tokens=49, total_tokens=281
2025-11-21T00:36:00.782303 | sports_talk_shows_356 | chunk 5 | prompt_tokens=1782, candidates_tokens=215, total_tokens=1997
2025-11-21T00:36:05.455455 | sports_talk_shows_356 | chunk 6 | prompt_tokens=807, candidates_tokens=116, total_tokens=923
2025-11-21T00:36:14.333187 | sports_talk_shows_356 | chunk 7 | prompt_tokens=1982, candidates_tokens=238, total_tokens=2220
2025-11-21T00:36:19.060667 | sports_talk_shows_356 | chunk 8 | prompt_tokens=832, candidates_tokens=91, total_tokens=923
2025-11-21T00:36:27.150904 | sports_talk_shows_356 | chunk 9 | prompt_tokens=2082, candidates_tokens=124, total_tokens=2206
2025-11-21T00:36:31.188297 | sports_talk_shows_356 | chunk 10 | prompt_tokens=757, candidates_tokens=139, total_tokens=896
2025-11-21T00:36:37.463752 | sports_talk_shows_356 | chunk 11 | prompt_tokens=1032, candidates_tokens=76, total_tokens=1108
2025-11-21T00:36:45.338451 | sports_talk_shows_356 | chunk 12 | prompt_tokens=1307, candidates_tokens=109, total_tokens=1416
2025-11-21T00:36:48.875494 | sports_talk_shows_32 | chunk 0 | prompt_tokens=382, candidates_tokens=57, total_tokens=439
2025-11-21T00:36:56.152691 | sports_talk_shows_32 | chunk 1 | prompt_tokens=1282, candidates_tokens=60, total_tokens=1342
2025-11-21T00:36:59.617661 | sports_talk_shows_32 | chunk 2 | prompt_tokens=482, candidates_tokens=58, total_tokens=540
2025-11-21T00:37:04.634363 | sports_talk_shows_32 | chunk 3 | prompt_tokens=632, candidates_tokens=59, total_tokens=691
2025-11-21T00:37:10.051692 | sports_talk_shows_32 | chunk 4 | prompt_tokens=1032, candidates_tokens=83, total_tokens=1115
2025-11-21T00:37:13.643150 | sports_talk_shows_32 | chunk 5 | prompt_tokens=832, candidates_tokens=75, total_tokens=907
2025-11-21T00:37:17.115094 | sports_talk_shows_32 | chunk 6 | prompt_tokens=807, candidates_tokens=71, total_tokens=878
2025-11-21T00:37:21.852642 | sports_talk_shows_32 | chunk 7 | prompt_tokens=1082, candidates_tokens=92, total_tokens=1174
2025-11-21T00:37:25.813764 | sports_talk_shows_32 | chunk 8 | prompt_tokens=832, candidates_tokens=83, total_tokens=915
2025-11-21T00:37:32.848903 | sports_talk_shows_32 | chunk 9 | prompt_tokens=1107, candidates_tokens=91, total_tokens=1198
2025-11-21T00:37:37.599634 | sports_talk_shows_32 | chunk 10 | prompt_tokens=832, candidates_tokens=97, total_tokens=929
2025-11-21T00:37:41.664254 | sports_talk_shows_32 | chunk 11 | prompt_tokens=707, candidates_tokens=49, total_tokens=756
2025-11-21T00:37:46.972555 | sports_talk_shows_32 | chunk 12 | prompt_tokens=932, candidates_tokens=94, total_tokens=1026
2025-11-21T00:37:50.986300 | sports_talk_shows_32 | chunk 13 | prompt_tokens=1032, candidates_tokens=66, total_tokens=1098
2025-11-21T00:37:54.295780 | sports_talk_shows_32 | chunk 14 | prompt_tokens=332, candidates_tokens=46, total_tokens=378
2025-11-21T00:38:01.057559 | sports_talk_shows_32 | chunk 15 | prompt_tokens=1632, candidates_tokens=108, total_tokens=1740
2025-11-21T00:38:07.831406 | sports_talk_shows_32 | chunk 16 | prompt_tokens=757, candidates_tokens=96, total_tokens=853
2025-11-21T00:38:13.246016 | sports_talk_shows_32 | chunk 17 | prompt_tokens=907, candidates_tokens=75, total_tokens=982
2025-11-21T00:38:19.068781 | sports_talk_shows_32 | chunk 18 | prompt_tokens=932, candidates_tokens=76, total_tokens=1008
2025-11-21T00:38:23.493278 | sports_talk_shows_32 | chunk 19 | prompt_tokens=1157, candidates_tokens=63, total_tokens=1220
2025-11-21T00:38:26.807635 | sports_talk_shows_32 | chunk 20 | prompt_tokens=857, candidates_tokens=70, total_tokens=927
2025-11-21T00:38:32.349523 | sports_talk_shows_32 | chunk 21 | prompt_tokens=1032, candidates_tokens=115, total_tokens=1147
2025-11-21T00:38:35.442951 | sports_talk_shows_228 | chunk 0 | prompt_tokens=982, candidates_tokens=74, total_tokens=1056
2025-11-21T00:38:39.485517 | sports_talk_shows_228 | chunk 1 | prompt_tokens=1032, candidates_tokens=114, total_tokens=1146
2025-11-21T00:38:44.498238 | sports_talk_shows_228 | chunk 2 | prompt_tokens=807, candidates_tokens=64, total_tokens=871
2025-11-21T00:38:50.226767 | sports_talk_shows_228 | chunk 3 | prompt_tokens=932, candidates_tokens=123, total_tokens=1055
2025-11-21T00:38:56.524016 | sports_talk_shows_228 | chunk 4 | prompt_tokens=1407, candidates_tokens=97, total_tokens=1504
2025-11-21T00:39:01.227235 | sports_talk_shows_228 | chunk 5 | prompt_tokens=1507, candidates_tokens=100, total_tokens=1607
2025-11-21T00:39:05.773323 | sports_talk_shows_228 | chunk 6 | prompt_tokens=1357, candidates_tokens=111, total_tokens=1468
2025-11-21T00:39:15.304706 | sports_talk_shows_228 | chunk 7 | prompt_tokens=2082, candidates_tokens=144, total_tokens=2226
2025-11-21T00:39:19.501263 | sports_talk_shows_228 | chunk 8 | prompt_tokens=932, candidates_tokens=86, total_tokens=1018
2025-11-21T00:39:28.881720 | sports_talk_shows_228 | chunk 9 | prompt_tokens=1382, candidates_tokens=131, total_tokens=1513
2025-11-21T00:39:28.885277 | sports_talk_shows_228 | chunk 0 | prompt_tokens=982, candidates_tokens=53, total_tokens=1035
2025-11-21T00:39:32.961805 | sports_talk_shows_228 | chunk 1 | prompt_tokens=1032, candidates_tokens=79, total_tokens=1111
2025-11-21T00:39:33.800680 | sports_talk_shows_248 | chunk 0 | prompt_tokens=707, candidates_tokens=68, total_tokens=775
2025-11-21T00:39:36.580556 | sports_talk_shows_228 | chunk 2 | prompt_tokens=807, candidates_tokens=105, total_tokens=912
2025-11-21T00:39:40.871777 | sports_talk_shows_248 | chunk 1 | prompt_tokens=757, candidates_tokens=84, total_tokens=841
2025-11-21T00:39:42.671280 | sports_talk_shows_228 | chunk 3 | prompt_tokens=932, candidates_tokens=86, total_tokens=1018
2025-11-21T00:39:44.609544 | sports_talk_shows_248 | chunk 2 | prompt_tokens=782, candidates_tokens=101, total_tokens=883
2025-11-21T00:39:51.927900 | sports_talk_shows_248 | chunk 3 | prompt_tokens=1007, candidates_tokens=94, total_tokens=1101
2025-11-21T00:39:53.110345 | sports_talk_shows_228 | chunk 4 | prompt_tokens=1407, candidates_tokens=142, total_tokens=1549
2025-11-21T00:39:59.847525 | sports_talk_shows_248 | chunk 4 | prompt_tokens=1457, candidates_tokens=82, total_tokens=1539
2025-11-21T00:40:03.971658 | sports_talk_shows_228 | chunk 5 | prompt_tokens=1507, candidates_tokens=110, total_tokens=1617
2025-11-21T00:40:06.149699 | sports_talk_shows_248 | chunk 5 | prompt_tokens=507, candidates_tokens=86, total_tokens=593
2025-11-21T00:40:10.788660 | sports_talk_shows_228 | chunk 6 | prompt_tokens=1357, candidates_tokens=94, total_tokens=1451
2025-11-21T00:40:11.587017 | sports_talk_shows_248 | chunk 6 | prompt_tokens=732, candidates_tokens=109, total_tokens=841
2025-11-21T00:40:17.571754 | sports_talk_shows_248 | chunk 7 | prompt_tokens=1107, candidates_tokens=92, total_tokens=1199
2025-11-21T00:40:20.325853 | sports_talk_shows_228 | chunk 7 | prompt_tokens=2082, candidates_tokens=102, total_tokens=2184
2025-11-21T00:40:22.154810 | sports_talk_shows_248 | chunk 8 | prompt_tokens=532, candidates_tokens=67, total_tokens=599
2025-11-21T00:40:25.806564 | sports_talk_shows_228 | chunk 8 | prompt_tokens=932, candidates_tokens=107, total_tokens=1039
2025-11-21T00:40:27.836329 | sports_talk_shows_248 | chunk 9 | prompt_tokens=1182, candidates_tokens=68, total_tokens=1250
2025-11-21T00:40:31.956470 | sports_talk_shows_248 | chunk 10 | prompt_tokens=382, candidates_tokens=60, total_tokens=442
2025-11-21T00:40:33.817728 | sports_talk_shows_228 | chunk 9 | prompt_tokens=1382, candidates_tokens=155, total_tokens=1537
2025-11-21T00:40:35.772208 | sports_talk_shows_248 | chunk 11 | prompt_tokens=457, candidates_tokens=60, total_tokens=517
2025-11-21T00:40:37.704190 | sports_talk_shows_248 | chunk 0 | prompt_tokens=707, candidates_tokens=92, total_tokens=799
2025-11-21T00:40:41.083487 | sports_talk_shows_248 | chunk 12 | prompt_tokens=907, candidates_tokens=63, total_tokens=970
2025-11-21T00:40:42.124113 | sports_talk_shows_248 | chunk 1 | prompt_tokens=757, candidates_tokens=56, total_tokens=813
2025-11-21T00:40:47.758001 | sports_talk_shows_248 | chunk 2 | prompt_tokens=782, candidates_tokens=82, total_tokens=864
2025-11-21T00:40:48.814251 | sports_talk_shows_248 | chunk 13 | prompt_tokens=1182, candidates_tokens=79, total_tokens=1261
2025-11-21T00:40:54.141819 | sports_talk_shows_248 | chunk 3 | prompt_tokens=1007, candidates_tokens=85, total_tokens=1092
2025-11-21T00:41:01.074961 | sports_talk_shows_248 | chunk 14 | prompt_tokens=2232, candidates_tokens=82, total_tokens=2314
2025-11-21T00:41:01.682763 | sports_talk_shows_248 | chunk 4 | prompt_tokens=1457, candidates_tokens=77, total_tokens=1534
2025-11-21T00:41:05.895336 | sports_talk_shows_248 | chunk 5 | prompt_tokens=507, candidates_tokens=94, total_tokens=601
2025-11-21T00:41:10.293605 | sports_talk_shows_248 | chunk 6 | prompt_tokens=732, candidates_tokens=68, total_tokens=800
2025-11-21T00:41:10.818213 | sports_talk_shows_248 | chunk 15 | prompt_tokens=2207, candidates_tokens=162, total_tokens=2369
2025-11-21T00:41:16.876134 | sports_talk_shows_248 | chunk 7 | prompt_tokens=1107, candidates_tokens=106, total_tokens=1213
2025-11-21T00:41:18.256377 | sports_talk_shows_248 | chunk 16 | prompt_tokens=982, candidates_tokens=65, total_tokens=1047
2025-11-21T00:41:21.119021 | sports_talk_shows_248 | chunk 8 | prompt_tokens=532, candidates_tokens=54, total_tokens=586
2025-11-21T00:41:25.743127 | sports_talk_shows_248 | chunk 17 | prompt_tokens=1307, candidates_tokens=129, total_tokens=1436
2025-11-21T00:41:26.287153 | sports_talk_shows_248 | chunk 9 | prompt_tokens=1182, candidates_tokens=72, total_tokens=1254
2025-11-21T00:41:29.402546 | sports_talk_shows_248 | chunk 10 | prompt_tokens=382, candidates_tokens=43, total_tokens=425
2025-11-21T00:41:31.203150 | sports_talk_shows_248 | chunk 18 | prompt_tokens=582, candidates_tokens=54, total_tokens=636
2025-11-21T00:41:32.171172 | sports_talk_shows_248 | chunk 11 | prompt_tokens=457, candidates_tokens=61, total_tokens=518
2025-11-21T00:41:37.040104 | sports_talk_shows_248 | chunk 12 | prompt_tokens=907, candidates_tokens=81, total_tokens=988
2025-11-21T00:41:38.474232 | sports_talk_shows_77 | chunk 0 | prompt_tokens=2207, candidates_tokens=118, total_tokens=2325
2025-11-21T00:41:43.201026 | sports_talk_shows_248 | chunk 13 | prompt_tokens=1182, candidates_tokens=109, total_tokens=1291
2025-11-21T00:41:44.547800 | sports_talk_shows_77 | chunk 1 | prompt_tokens=1432, candidates_tokens=134, total_tokens=1566
2025-11-21T00:41:49.015693 | sports_talk_shows_77 | chunk 2 | prompt_tokens=1382, candidates_tokens=55, total_tokens=1437
2025-11-21T00:41:52.394180 | sports_talk_shows_77 | chunk 3 | prompt_tokens=757, candidates_tokens=69, total_tokens=826
2025-11-21T00:41:56.959734 | sports_talk_shows_248 | chunk 14 | prompt_tokens=2232, candidates_tokens=66, total_tokens=2298
2025-11-21T00:41:59.567742 | sports_talk_shows_77 | chunk 4 | prompt_tokens=1082, candidates_tokens=82, total_tokens=1164
2025-11-21T00:42:04.422081 | sports_talk_shows_77 | chunk 5 | prompt_tokens=757, candidates_tokens=91, total_tokens=848
2025-11-21T00:42:05.937481 | sports_talk_shows_248 | chunk 15 | prompt_tokens=2207, candidates_tokens=139, total_tokens=2346
2025-11-21T00:42:11.288153 | sports_talk_shows_248 | chunk 16 | prompt_tokens=982, candidates_tokens=73, total_tokens=1055
2025-11-21T00:42:12.119194 | sports_talk_shows_77 | chunk 6 | prompt_tokens=1007, candidates_tokens=78, total_tokens=1085
2025-11-21T00:42:23.405919 | sports_talk_shows_248 | chunk 17 | prompt_tokens=1307, candidates_tokens=144, total_tokens=1451
2025-11-21T00:42:26.090555 | sports_talk_shows_77 | chunk 7 | prompt_tokens=1757, candidates_tokens=68, total_tokens=1825
2025-11-21T00:42:28.501804 | sports_talk_shows_248 | chunk 18 | prompt_tokens=582, candidates_tokens=54, total_tokens=636
2025-11-21T00:42:29.404456 | sports_talk_shows_77 | chunk 8 | prompt_tokens=307, candidates_tokens=46, total_tokens=353
2025-11-21T00:42:32.780142 | sports_talk_shows_77 | chunk 9 | prompt_tokens=557, candidates_tokens=62, total_tokens=619
2025-11-21T00:42:36.729087 | sports_talk_shows_288 | chunk 0 | prompt_tokens=2232, candidates_tokens=103, total_tokens=2335
2025-11-21T00:42:38.202960 | sports_talk_shows_77 | chunk 10 | prompt_tokens=1057, candidates_tokens=59, total_tokens=1116
2025-11-21T00:42:42.428881 | sports_talk_shows_77 | chunk 11 | prompt_tokens=1457, candidates_tokens=85, total_tokens=1542
2025-11-21T00:42:44.308887 | sports_talk_shows_288 | chunk 1 | prompt_tokens=1607, candidates_tokens=103, total_tokens=1710
2025-11-21T00:42:44.977792 | sports_talk_shows_77 | chunk 12 | prompt_tokens=332, candidates_tokens=43, total_tokens=375
2025-11-21T00:42:49.636161 | sports_talk_shows_288 | chunk 2 | prompt_tokens=707, candidates_tokens=76, total_tokens=783
2025-11-21T00:42:50.567202 | sports_talk_shows_132 | chunk 0 | prompt_tokens=582, candidates_tokens=70, total_tokens=652
2025-11-21T00:42:54.194652 | sports_talk_shows_288 | chunk 3 | prompt_tokens=1082, candidates_tokens=99, total_tokens=1181
2025-11-21T00:42:55.742470 | sports_talk_shows_132 | chunk 1 | prompt_tokens=857, candidates_tokens=81, total_tokens=938
2025-11-21T00:43:00.893246 | sports_talk_shows_288 | chunk 4 | prompt_tokens=1057, candidates_tokens=111, total_tokens=1168
2025-11-21T00:43:03.003721 | sports_talk_shows_132 | chunk 2 | prompt_tokens=1107, candidates_tokens=118, total_tokens=1225
2025-11-21T00:43:06.846853 | sports_talk_shows_288 | chunk 5 | prompt_tokens=807, candidates_tokens=75, total_tokens=882
2025-11-21T00:43:13.765093 | sports_talk_shows_132 | chunk 3 | prompt_tokens=1582, candidates_tokens=110, total_tokens=1692
2025-11-21T00:43:14.291620 | sports_talk_shows_288 | chunk 6 | prompt_tokens=957, candidates_tokens=75, total_tokens=1032
2025-11-21T00:43:26.681550 | sports_talk_shows_288 | chunk 7 | prompt_tokens=1632, candidates_tokens=119, total_tokens=1751
2025-11-21T00:43:30.870634 | sports_talk_shows_132 | chunk 4 | prompt_tokens=2157, candidates_tokens=123, total_tokens=2280
2025-11-21T00:43:34.670473 | sports_talk_shows_288 | chunk 8 | prompt_tokens=1382, candidates_tokens=99, total_tokens=1481
